https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REQ
1645315200000,2022-02-20 00:00:00,REQ/USD,0.2355,0.23904,0.21935,0.2218,9459.895804163738,42650.567196410004
1645228800000,2022-02-19 00:00:00,REQ/USD,0.23342,0.24108,0.22978,0.24108,10880.74632540625,45133.34297912
1645142400000,2022-02-18 00:00:00,REQ/USD,0.2358,0.24353,0.23033,0.23216,13394.339682778498,57694.43350611
1645056000000,2022-02-17 00:00:00,REQ/USD,0.25742,0.25873,0.23504,0.23504,16283.082772627173,69277.92193935999
1644969600000,2022-02-16 00:00:00,REQ/USD,0.25861,0.26343,0.25098,0.257,25263.90694199741,98303.13985213
1644883200000,2022-02-15 00:00:00,REQ/USD,0.2596,0.26805,0.25704,0.26081,22250.350128407856,85312.48851044
1644796800000,2022-02-14 00:00:00,REQ/USD,0.24966,0.25927,0.24596,0.25152,15203.645159904423,60447.06249962
1644710400000,2022-02-13 00:00:00,REQ/USD,0.24405,0.27473,0.24405,0.25536,70059.35532204107,274355.24483882
1644624000000,2022-02-12 00:00:00,REQ/USD,0.25382,0.25382,0.24259,0.24259,3026.6927115839694,12476.57657605
1644537600000,2022-02-11 00:00:00,REQ/USD,0.26469,0.27684,0.25,0.25,20990.284434025,83961.1377361
1644451200000,2022-02-10 00:00:00,REQ/USD,0.2899,0.29143,0.27035,0.27052,21570.49463747,79737.15302924
1644364800000,2022-02-09 00:00:00,REQ/USD,0.28626,0.30959,0.27651,0.29082,90846.9820566148,312382.16785852
1644278400000,2022-02-08 00:00:00,REQ/USD,0.28071,0.31479,0.26568,0.30037,97693.56706169508,325244.08916235
1644192000000,2022-02-07 00:00:00,REQ/USD,0.26189,0.29229,0.25942,0.28072,107957.54261785217,384573.74828246
1644105600000,2022-02-06 00:00:00,REQ/USD,0.26739,0.27098,0.25486,0.26424,27713.48852231339,104879.98986646
1644019200000,2022-02-05 00:00:00,REQ/USD,0.25729,0.27901,0.25717,0.26302,49117.6515118536,186744.93008841
1643932800000,2022-02-04 00:00:00,REQ/USD,0.24208,0.31239,0.24208,0.25743,307685.95871909725,1195221.84173988
1643846400000,2022-02-03 00:00:00,REQ/USD,0.21854,0.28838,0.21526,0.2404,310636.5260583219,1292165.24982663
1643760000000,2022-02-02 00:00:00,REQ/USD,0.23416,0.23654,0.21886,0.22323,19245.86429047611,86215.402457
1643673600000,2022-02-01 00:00:00,REQ/USD,0.23018,0.23809,0.22776,0.23652,36362.06286199238,153737.79326058
1643587200000,2022-01-31 00:00:00,REQ/USD,0.22937,0.23277,0.21446,0.22927,57377.65322196901,250262.36848243998
1643500800000,2022-01-30 00:00:00,REQ/USD,0.23108,0.24084,0.22188,0.22957,82559.70949563662,359627.60593996
1643414400000,2022-01-29 00:00:00,REQ/USD,0.21939,0.2331,0.21939,0.22808,56891.18683335011,249435.2281364
1643328000000,2022-01-28 00:00:00,REQ/USD,0.22029,0.22433,0.21045,0.22007,38724.694792149225,175965.350989
1643241600000,2022-01-27 00:00:00,REQ/USD,0.22308,0.22557,0.20897,0.21762,40852.31047818528,187723.14345274
1643155200000,2022-01-26 00:00:00,REQ/USD,0.22545,0.2462,0.21869,0.22069,186655.66627008768,845782.1662517
1643068800000,2022-01-25 00:00:00,REQ/USD,0.22221,0.23987,0.22027,0.22715,84685.08276076744,372815.68461707
1642982400000,2022-01-24 00:00:00,REQ/USD,0.23091,0.25563,0.20881,0.2269,222381.45730016165,980085.75275523
1642896000000,2022-01-23 00:00:00,REQ/USD,0.21847,0.24906,0.21644,0.2358,226755.5991104898,961643.7621309999
1642809600000,2022-01-22 00:00:00,REQ/USD,0.23501,0.26906,0.20304,0.21705,254435.20457520237,1172242.36155357
1642723200000,2022-01-21 00:00:00,REQ/USD,0.28278,0.28893,0.22333,0.23528,115628.7499486393,491451.67438218
1642636800000,2022-01-20 00:00:00,REQ/USD,0.29321,0.3213,0.28015,0.28015,113279.04333669909,404351.39509798
1642550400000,2022-01-19 00:00:00,REQ/USD,0.31373,0.31727,0.28982,0.29823,71291.72193787784,239049.46496958
1642464000000,2022-01-18 00:00:00,REQ/USD,0.34097,0.36132,0.30908,0.31359,85004.88917355254,271070.15266288
1642377600000,2022-01-17 00:00:00,REQ/USD,0.29161,0.42,0.29025,0.34442,472298.25287216285,1371285.79313676
1642291200000,2022-01-16 00:00:00,REQ/USD,0.288,0.29324,0.28524,0.29018,27202.20681642547,93742.52814262
1642204800000,2022-01-15 00:00:00,REQ/USD,0.28467,0.29295,0.28235,0.28641,41189.09296728531,143811.64403228
1642118400000,2022-01-14 00:00:00,REQ/USD,0.28168,0.29584,0.27527,0.28914,54644.537787923124,188989.89343544
1642032000000,2022-01-13 00:00:00,REQ/USD,0.29997,0.30252,0.28116,0.28201,44116.60416573399,156436.31135681
1641945600000,2022-01-12 00:00:00,REQ/USD,0.28622,0.31214,0.28622,0.3008,58588.265922404615,194774.82022076
1641859200000,2022-01-11 00:00:00,REQ/USD,0.27701,0.29083,0.27393,0.28674,46747.74999525846,163031.84067538
1641772800000,2022-01-10 00:00:00,REQ/USD,0.29894,0.30491,0.2747,0.28119,68508.80411948991,243638.8353764
1641686400000,2022-01-09 00:00:00,REQ/USD,0.29025,0.31492,0.28758,0.30414,78896.80159349108,259409.48771451
1641600000000,2022-01-08 00:00:00,REQ/USD,0.30549,0.32311,0.27857,0.2942,70792.40867731429,240626.81399495
1641513600000,2022-01-07 00:00:00,REQ/USD,0.31763,0.31763,0.29143,0.30193,92068.0225923391,304931.68149021
1641427200000,2022-01-06 00:00:00,REQ/USD,0.32598,0.33947,0.30607,0.3186,93510.7937858316,293505.31633970997
1641340800000,2022-01-05 00:00:00,REQ/USD,0.35781,0.36609,0.31505,0.32169,77601.60491517461,241231.01406688
1641254400000,2022-01-04 00:00:00,REQ/USD,0.36691,0.37564,0.35768,0.35768,30623.417809361552,85616.80219571
1641168000000,2022-01-03 00:00:00,REQ/USD,0.37118,0.38634,0.36613,0.37133,38989.634945613405,104999.9594582
1641081600000,2022-01-02 00:00:00,REQ/USD,0.37187,0.38587,0.37011,0.37825,25460.912876998584,67312.39359418
1640995200000,2022-01-01 00:00:00,REQ/USD,0.37463,0.39965,0.36471,0.38038,40197.476043464936,105677.15453879
1640908800000,2021-12-31 00:00:00,REQ/USD,0.38564,0.38958,0.36239,0.36935,50473.88321366377,136655.97187942
1640822400000,2021-12-30 00:00:00,REQ/USD,0.37257,0.42896,0.36202,0.37921,141541.89829817938,373254.65651796997
1640736000000,2021-12-29 00:00:00,REQ/USD,0.35784,0.4489,0.34918,0.37106,252507.2213225321,680502.40209813
1640649600000,2021-12-28 00:00:00,REQ/USD,0.393,0.393,0.352,0.35721,81686.45123479533,228679.07179193
1640563200000,2021-12-27 00:00:00,REQ/USD,0.39488,0.40301,0.388,0.3975,75872.4740830962,190874.14863672
1640476800000,2021-12-26 00:00:00,REQ/USD,0.40103,0.40451,0.38521,0.39247,102572.71453539854,261351.7327067
1640390400000,2021-12-25 00:00:00,REQ/USD,0.37673,0.41668,0.37661,0.39908,71978.75832338822,180361.72778237
1640304000000,2021-12-24 00:00:00,REQ/USD,0.39828,0.40656,0.37834,0.37838,53733.955677138845,142010.55995860999
1640217600000,2021-12-23 00:00:00,REQ/USD,0.37984,0.41472,0.37494,0.40341,66773.02178269482,165521.48380728
1640131200000,2021-12-22 00:00:00,REQ/USD,0.36555,0.42818,0.36435,0.39366,134849.79093940358,342553.95757609
1640044800000,2021-12-21 00:00:00,REQ/USD,0.34955,0.37766,0.34789,0.36623,53533.39263152391,146174.24195594
