https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1644278400000,2022-02-08 00:00:00,OMG/USD,5.4119,5.6389,5.0688,5.2045,1022884.3533559239,196538.44814217
1644192000000,2022-02-07 00:00:00,OMG/USD,5.1875,5.47,5.0503,5.4096,693951.4698298,128281.47549353
1644105600000,2022-02-06 00:00:00,OMG/USD,5.1228,5.2685,4.9615,5.1816,921448.4602780038,177830.87468697
1644019200000,2022-02-05 00:00:00,OMG/USD,4.9847,5.2311,4.9567,5.1268,708191.9751900565,138135.28422994
1643932800000,2022-02-04 00:00:00,OMG/USD,4.7073,5.0251,4.6128,4.9901,498842.24166234315,99966.38176837
1643846400000,2022-02-03 00:00:00,OMG/USD,4.6343,4.7996,4.505,4.7189,545720.269245698,115645.65242868
1643760000000,2022-02-02 00:00:00,OMG/USD,4.8984,4.9693,4.561,4.6437,415265.1233015758,89425.48470004
1643673600000,2022-02-01 00:00:00,OMG/USD,5.0156,5.0566,4.7739,4.8919,400591.4865647307,81888.73169213
1643587200000,2022-01-31 00:00:00,OMG/USD,4.8535,5.15,4.544,5.0191,1020477.0524199526,203318.73292422
1643500800000,2022-01-30 00:00:00,OMG/USD,4.8741,5.003,4.6686,4.8413,754183.1885383606,155781.13079924
1643414400000,2022-01-29 00:00:00,OMG/USD,4.5744,4.9306,4.5568,4.8723,999321.3241220224,205102.58484125
1643328000000,2022-01-28 00:00:00,OMG/USD,4.2182,4.6379,4.2119,4.5764,1333941.3694477235,291482.68714442
1643241600000,2022-01-27 00:00:00,OMG/USD,4.228,4.4124,4.0164,4.2269,2279714.558167807,539334.86909267
1643155200000,2022-01-26 00:00:00,OMG/USD,4.2192,4.58,4.1148,4.2223,2308956.845053171,546848.12662605
1643068800000,2022-01-25 00:00:00,OMG/USD,4.1091,4.2988,3.8939,4.2138,1084781.195412423,257435.37790413
1642982400000,2022-01-24 00:00:00,OMG/USD,4.4201,4.4201,3.6897,4.12,1780045.6916512896,432049.92515808
1642896000000,2022-01-23 00:00:00,OMG/USD,4.2474,4.5055,4.1519,4.4299,1270973.8764189312,286908.02871824
1642809600000,2022-01-22 00:00:00,OMG/USD,4.7137,4.9035,3.9205,4.2482,2956051.069558594,695836.13520046
1642723200000,2022-01-21 00:00:00,OMG/USD,5.2228,5.3375,4.56,4.7232,1651889.5186359538,349739.48141852
1642636800000,2022-01-20 00:00:00,OMG/USD,5.4485,5.858,5.1905,5.2193,703305.9429754005,134751.00932604
1642550400000,2022-01-19 00:00:00,OMG/USD,5.9344,5.9388,5.4429,5.4429,1379894.1705205601,253521.86711506
1642464000000,2022-01-18 00:00:00,OMG/USD,6.2572,6.3016,5.7399,5.929,1351278.9365394297,227910.09218071
1642377600000,2022-01-17 00:00:00,OMG/USD,6.5866,6.5866,5.9819,6.2542,1210374.6308698738,193529.88885387
1642291200000,2022-01-16 00:00:00,OMG/USD,6.73,6.9473,6.33,6.5895,1301626.305249937,197530.35970102999
1642204800000,2022-01-15 00:00:00,OMG/USD,6.0345,6.8527,6.0271,6.7259,3820129.993618738,567973.05841876
1642118400000,2022-01-14 00:00:00,OMG/USD,5.953,6.3016,5.7805,6.0341,1583318.1167143646,262395.07411451
1642032000000,2022-01-13 00:00:00,OMG/USD,5.8811,6.3518,5.8805,5.9465,2651249.3327225368,445850.38808081
1641945600000,2022-01-12 00:00:00,OMG/USD,5.33,6.068,5.3284,5.8746,2357206.8323133155,401254.01428409
1641859200000,2022-01-11 00:00:00,OMG/USD,5.0979,5.4163,5.0338,5.3245,924274.7383402932,173589.0202536
1641772800000,2022-01-10 00:00:00,OMG/USD,5.3446,5.3973,4.8764,5.0979,1189067.0049189692,233246.43577139
1641686400000,2022-01-09 00:00:00,OMG/USD,5.3622,5.4964,5.2897,5.3526,924665.4937468612,172750.71810837
1641600000000,2022-01-08 00:00:00,OMG/USD,5.5119,5.8837,5.1634,5.3549,2411783.1588701834,450388.08546755
1641513600000,2022-01-07 00:00:00,OMG/USD,5.6468,5.685,5.2055,5.5026,2331288.762432428,423670.40352423
1641427200000,2022-01-06 00:00:00,OMG/USD,5.5678,5.6993,5.3838,5.6472,2200726.6187793957,389702.26285228
