https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MOB
1641340800000,2022-01-05 00:00:00,MOB/USD,9.896,10.002,9.428,9.5129,84831.12683976424,8917.48329529
1641254400000,2022-01-04 00:00:00,MOB/USD,10.01,10.057,9.874,9.899,14872.22968769071,1502.39718029
1641168000000,2022-01-03 00:00:00,MOB/USD,9.9857,10.117,9.938,10.01,6859.535242259701,685.26825597
1641081600000,2022-01-02 00:00:00,MOB/USD,10.128,10.182,9.948,9.99,18335.102173570802,1835.34556292
1640995200000,2022-01-01 00:00:00,MOB/USD,9.854,10.162,9.854,10.145,25270.673499014152,2490.94859527
1640908800000,2021-12-31 00:00:00,MOB/USD,10.053,10.195,9.8095,9.8095,66724.20410996376,6801.99848208
1640822400000,2021-12-30 00:00:00,MOB/USD,10.203,10.239,10.001,10.053,25380.23566722912,2524.64295904
1640736000000,2021-12-29 00:00:00,MOB/USD,10.453,10.499,10.19,10.207,35579.444608162354,3485.78863605
1640649600000,2021-12-28 00:00:00,MOB/USD,10.836,10.836,10.404,10.502,45244.035185459565,4308.13513478
1640563200000,2021-12-27 00:00:00,MOB/USD,10.672,10.851,10.663,10.839,8267.26625485011,762.73330149
1640476800000,2021-12-26 00:00:00,MOB/USD,10.775,10.904,10.609,10.669,50364.960520158806,4720.68239949
1640390400000,2021-12-25 00:00:00,MOB/USD,10.783,10.874,10.764,10.786,43148.524650203675,4000.41949288
1640304000000,2021-12-24 00:00:00,MOB/USD,10.635,10.876,10.62,10.783,26892.188659832933,2493.9431197100002
1640217600000,2021-12-23 00:00:00,MOB/USD,10.497,10.695,10.454,10.62,65080.460788487995,6128.1036524
1640131200000,2021-12-22 00:00:00,MOB/USD,10.649,10.922,10.46,10.475,74836.09266903724,7144.25705671
1640044800000,2021-12-21 00:00:00,MOB/USD,10.957,11.007,10.578,10.646,139948.77599516735,13145.66748029
