https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UDC
1640908800000,2021-12-31 00:00:00,UDC/USD,1.0001,1.0025,1.0,1.0001,699437.1578915269,699367.22116941
1640822400000,2021-12-30 00:00:00,UDC/USD,1.0001,1.0004,1.0001,1.0003,108584.65399856161,108552.08837205
1640736000000,2021-12-29 00:00:00,UDC/USD,1.0001,1.0006,1.0001,1.0002,122426.06674318519,122401.58642590001
1640649600000,2021-12-28 00:00:00,UDC/USD,1.0,1.0003,1.0,1.0001,106128.35073209582,106117.7389582
1640563200000,2021-12-27 00:00:00,UDC/USD,1.0,1.0003,0.9999,1.0002,355948.91993838793,355877.74438951
1640476800000,2021-12-26 00:00:00,UDC/USD,1.0002,1.0004,0.9999,1.0002,147413.1718226367,147383.69508362
1640390400000,2021-12-25 00:00:00,UDC/USD,1.0002,1.0003,1.0,1.0002,1096091.1363060125,1095871.96191363
1640304000000,2021-12-24 00:00:00,UDC/USD,1.0001,1.0005,1.0001,1.0001,231664.67578875375,231641.51163759
1640217600000,2021-12-23 00:00:00,UDC/USD,1.0001,1.0014,1.0001,1.0001,1345768.4232175031,1345633.85983152
1640131200000,2021-12-22 00:00:00,UDC/USD,1.0001,1.0004,1.0,1.0003,1264529.163852673,1264149.91887701
