https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATO
1640736000000,2021-12-29 00:00:00,ATO/USD,26.665,28.162,25.237,27.945,2323423.1841950705,83142.71548381
1640649600000,2021-12-28 00:00:00,ATO/USD,29.673,29.673,26.139,26.554,2474901.7397502493,93202.59620962
1640563200000,2021-12-27 00:00:00,ATO/USD,32.159,32.715,29.624,29.695,2168564.494344523,73027.93380517
1640476800000,2021-12-26 00:00:00,ATO/USD,29.698,32.277,28.614,32.206,3992018.868432702,123952.64448962
1640390400000,2021-12-25 00:00:00,ATO/USD,26.851,29.699,26.649,29.699,4011878.0738244564,135084.61812938
1640304000000,2021-12-24 00:00:00,ATO/USD,28.359,29.746,26.782,26.882,3414753.7961505204,127027.52013059
1640217600000,2021-12-23 00:00:00,ATO/USD,27.449,28.883,26.459,28.357,4359416.569757961,153733.3487237
1640131200000,2021-12-22 00:00:00,ATO/USD,23.644,28.519,23.427,27.318,3953594.850066174,144724.90116649
1640044800000,2021-12-21 00:00:00,ATO/USD,21.555,23.627,21.486,23.627,2733530.3076271983,115695.19226424
1639958400000,2021-12-20 00:00:00,ATO/USD,22.099,22.424,20.745,21.489,1315809.4331238891,61231.76663055
1639872000000,2021-12-19 00:00:00,ATO/USD,23.179,23.716,22.072,22.165,1804329.096839848,81404.42575411
1639785600000,2021-12-18 00:00:00,ATO/USD,21.242,23.259,20.951,23.145,1617241.8446413975,69874.35060019
1639699200000,2021-12-17 00:00:00,ATO/USD,21.795,22.054,20.438,21.239,1004301.7008538126,47285.73383181
1639612800000,2021-12-16 00:00:00,ATO/USD,22.351,23.465,21.66,21.818,2342825.2489451976,107380.3854132
1639526400000,2021-12-15 00:00:00,ATO/USD,21.767,22.865,20.227,22.31,3283545.089926333,147178.17525443
1639440000000,2021-12-14 00:00:00,ATO/USD,21.768,22.155,21.0,21.805,3903491.69352429,179018.192778
1639353600000,2021-12-13 00:00:00,ATO/USD,24.522,24.936,21.104,21.793,9006403.660057114,413270.48410302
1639267200000,2021-12-12 00:00:00,ATO/USD,24.409,25.207,23.54,24.524,2914455.77471139,118840.9629225
