https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMN
1638489600000,2021-12-03 00:00:00,OMN/USD,3.6697,3.6697,3.4101,3.4101,1391.155391803662,407.95149462
1638403200000,2021-12-02 00:00:00,OMN/USD,3.5011,3.86,3.4107,3.4107,2520.2496483548875,738.92445784
1638316800000,2021-12-01 00:00:00,OMN/USD,3.3838,3.6457,3.3838,3.5,756.120621585,216.03446331
1638230400000,2021-11-30 00:00:00,OMN/USD,3.5926,3.6042,3.3838,3.4761,94.905082001055,27.30217255
1638144000000,2021-11-29 00:00:00,OMN/USD,3.3838,3.79,3.3838,3.4957,222.716339804413,63.71151409
1638057600000,2021-11-28 00:00:00,OMN/USD,3.6527,3.8599,3.3009,3.85,1342.3970796005,348.67456613
1637971200000,2021-11-27 00:00:00,OMN/USD,3.498,3.7039,3.3457,3.7,441.363249612,119.28736476
1637884800000,2021-11-26 00:00:00,OMN/USD,3.7942,3.8687,3.3259,3.3259,594.6178914845509,178.78405589
1637798400000,2021-11-25 00:00:00,OMN/USD,3.4,3.8316,3.3923,3.7942,197.977235726452,52.17891406
1637712000000,2021-11-24 00:00:00,OMN/USD,3.5313,3.5313,3.4133,3.4133,220.064030739146,64.47251362
1637625600000,2021-11-23 00:00:00,OMN/USD,3.9,4.0595,3.5,3.5307,1340.087293358793,379.55286299
1637539200000,2021-11-22 00:00:00,OMN/USD,3.87,4.48,3.3303,3.6489,80118.61499982291,21956.92263417
1637452800000,2021-11-21 00:00:00,OMN/USD,2.9122,3.878,2.9122,3.2001,3203.683539918123,1001.1198212300001
1637366400000,2021-11-20 00:00:00,OMN/USD,3.1,3.15,2.9,3.1489,98.92271365296,31.4150064
1637280000000,2021-11-19 00:00:00,OMN/USD,2.895,2.92,2.895,2.914,389.05818747200004,133.513448
1637193600000,2021-11-18 00:00:00,OMN/USD,3.0555,3.0555,3.0,3.0,137.17185102000002,45.72395034
1637107200000,2021-11-17 00:00:00,OMN/USD,3.3,3.3,3.1,3.1,3278.159273416,1057.47073336
1637020800000,2021-11-16 00:00:00,OMN/USD,3.7423,3.7692,2.75,3.0805,5887.229945918634,1911.12804607
1636934400000,2021-11-15 00:00:00,OMN/USD,3.397,4.2,3.21,3.7424,50888.2511860057,13597.758440040001
