https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GRT
1645574400000,2022-02-23 00:00:00,GRT/USD,0.38872,0.39313,0.35381,0.35673,37423.00152607856,104905.67523359
1645488000000,2022-02-22 00:00:00,GRT/USD,0.36122,0.38419,0.35132,0.38304,78276.97016393466,204357.16939206
1645401600000,2022-02-21 00:00:00,GRT/USD,0.39202,0.4225,0.35577,0.35577,69654.79146613293,195786.01755666
1645315200000,2022-02-20 00:00:00,GRT/USD,0.41086,0.41151,0.38187,0.3959,47576.125397313604,120172.07728545999
1645228800000,2022-02-19 00:00:00,GRT/USD,0.41526,0.42364,0.39974,0.41479,52282.49345363186,126045.69409491999
1645142400000,2022-02-18 00:00:00,GRT/USD,0.43596,0.44912,0.41065,0.41291,98918.58039218592,239564.50653214
1645056000000,2022-02-17 00:00:00,GRT/USD,0.48701,0.48874,0.43447,0.43594,141190.83874679083,323876.76915812
1644969600000,2022-02-16 00:00:00,GRT/USD,0.49174,0.51212,0.47375,0.48633,229767.74534210944,472452.33759404
1644883200000,2022-02-15 00:00:00,GRT/USD,0.40663,0.50643,0.40663,0.49337,256319.0486210959,519527.02560167
1644796800000,2022-02-14 00:00:00,GRT/USD,0.40575,0.4064,0.38837,0.40618,30311.328040841625,74625.35831612001
1644710400000,2022-02-13 00:00:00,GRT/USD,0.41652,0.42388,0.39767,0.40733,31886.876436216946,78282.66132182001
1644624000000,2022-02-12 00:00:00,GRT/USD,0.41731,0.42739,0.40601,0.41869,54723.86203951095,130702.57718004
1644537600000,2022-02-11 00:00:00,GRT/USD,0.45923,0.46768,0.413,0.41833,63652.338538627424,152158.1969704
1644451200000,2022-02-10 00:00:00,GRT/USD,0.48808,0.49018,0.4511,0.45919,78703.72528193865,171396.86247945
1644364800000,2022-02-09 00:00:00,GRT/USD,0.4745,0.49511,0.45907,0.48878,92155.57089490684,188542.02482693
1644278400000,2022-02-08 00:00:00,GRT/USD,0.50502,0.52165,0.45544,0.47395,127697.04248039646,269431.46424811997
1644192000000,2022-02-07 00:00:00,GRT/USD,0.46844,0.50825,0.46209,0.50653,78107.84446424099,154201.81324747
1644105600000,2022-02-06 00:00:00,GRT/USD,0.45,0.47357,0.44014,0.47308,53194.10217042124,112442.08626537
1644019200000,2022-02-05 00:00:00,GRT/USD,0.43892,0.46463,0.43829,0.44898,51609.349649509575,114947.99244846
1643932800000,2022-02-04 00:00:00,GRT/USD,0.40273,0.4384,0.40273,0.4384,52195.451575982945,119058.96801091
1643846400000,2022-02-03 00:00:00,GRT/USD,0.40473,0.40473,0.392,0.402,52141.26475380612,129704.63869106
1643760000000,2022-02-02 00:00:00,GRT/USD,0.43958,0.44059,0.40336,0.40737,111712.16792781626,274227.77310017
1643673600000,2022-02-01 00:00:00,GRT/USD,0.40793,0.44807,0.4078,0.44101,80283.99264746442,182045.74192754
1643587200000,2022-01-31 00:00:00,GRT/USD,0.39029,0.41044,0.38206,0.41044,50556.10043856536,123175.37383921
1643500800000,2022-01-30 00:00:00,GRT/USD,0.41049,0.4195,0.39664,0.3991,61239.25030679068,153443.37335703
1643414400000,2022-01-29 00:00:00,GRT/USD,0.41749,0.42272,0.41002,0.41002,33233.58607442306,81053.57317795
1643328000000,2022-01-28 00:00:00,GRT/USD,0.40199,0.41611,0.39693,0.41433,56655.94270969714,136741.10662925
1643241600000,2022-01-27 00:00:00,GRT/USD,0.40663,0.40853,0.38613,0.40128,64390.21189307225,160462.05116894
1643155200000,2022-01-26 00:00:00,GRT/USD,0.40698,0.45783,0.39629,0.40347,105016.75879645103,260283.93386485
1643068800000,2022-01-25 00:00:00,GRT/USD,0.391,0.41917,0.38969,0.41366,47111.60234958209,113889.67352314
1642982400000,2022-01-24 00:00:00,GRT/USD,0.41403,0.41403,0.34664,0.39295,62677.70023835539,159505.53566193
1642896000000,2022-01-23 00:00:00,GRT/USD,0.41418,0.42833,0.39283,0.41365,23278.825799233604,56276.62468085
1642809600000,2022-01-22 00:00:00,GRT/USD,0.43303,0.44041,0.36846,0.41952,128856.75827624406,307152.83723361
