https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UTK
1644796800000,2022-02-14 00:00:00,UTK/USD,0.24129,0.2535,0.23988,0.24568,4175.412600157961,16995.32969781
1644710400000,2022-02-13 00:00:00,UTK/USD,0.24651,0.27372,0.23965,0.24271,10187.800019988032,41975.1968192
1644624000000,2022-02-12 00:00:00,UTK/USD,0.25129,0.25657,0.24369,0.24652,7132.303882843916,28931.94825103
1644537600000,2022-02-11 00:00:00,UTK/USD,0.27825,0.27825,0.24919,0.25146,33162.847632719764,131881.20429778
1644451200000,2022-02-10 00:00:00,UTK/USD,0.26762,0.30216,0.26089,0.27825,99324.89142807151,356962.77242793
1644364800000,2022-02-09 00:00:00,UTK/USD,0.26247,0.27024,0.25288,0.26794,31994.493384867772,119409.17139982
1644278400000,2022-02-08 00:00:00,UTK/USD,0.26602,0.27424,0.25406,0.2633,13792.68825179981,52383.9280357
1644192000000,2022-02-07 00:00:00,UTK/USD,0.26159,0.27453,0.25592,0.26642,34740.2128478271,130396.4148631
1644105600000,2022-02-06 00:00:00,UTK/USD,0.2555,0.26191,0.24743,0.26135,5720.186010452374,21887.07101761
1644019200000,2022-02-05 00:00:00,UTK/USD,0.25741,0.26494,0.2528,0.25568,4253.690039617565,16636.77268311
1643932800000,2022-02-04 00:00:00,UTK/USD,0.241,0.25726,0.23728,0.25605,13322.414292110734,52030.51861789
1643846400000,2022-02-03 00:00:00,UTK/USD,0.22535,0.25189,0.2239,0.2398,19465.12504635149,81172.33130255
1643760000000,2022-02-02 00:00:00,UTK/USD,0.23625,0.24194,0.223,0.22556,3812.0684408234956,16900.46302901
1643673600000,2022-02-01 00:00:00,UTK/USD,0.23159,0.24113,0.23003,0.23597,7746.515561163277,32828.39158013
1643587200000,2022-01-31 00:00:00,UTK/USD,0.22987,0.23614,0.22019,0.23189,6132.441271699721,26445.4753189
1643500800000,2022-01-30 00:00:00,UTK/USD,0.23866,0.24327,0.22623,0.23,2492.3710148203004,10836.39571661
1643414400000,2022-01-29 00:00:00,UTK/USD,0.23797,0.24683,0.23672,0.23847,4253.929661147477,17838.42689289
1643328000000,2022-01-28 00:00:00,UTK/USD,0.23614,0.24479,0.22768,0.23842,8068.0314931199255,33839.57509068
1643241600000,2022-01-27 00:00:00,UTK/USD,0.23768,0.26163,0.22735,0.23653,36868.182561918926,155871.06312907
1643155200000,2022-01-26 00:00:00,UTK/USD,0.23322,0.25656,0.22523,0.24134,19512.07077510773,80848.88860159
1643068800000,2022-01-25 00:00:00,UTK/USD,0.22164,0.24464,0.20967,0.22871,3886.6273437984464,16993.692203220002
1642982400000,2022-01-24 00:00:00,UTK/USD,0.2341,0.23766,0.19605,0.2216,7991.503826061624,36062.74289739
1642896000000,2022-01-23 00:00:00,UTK/USD,0.22339,0.26293,0.22147,0.23419,10842.578729430556,46298.21396913
1642809600000,2022-01-22 00:00:00,UTK/USD,0.25659,0.26256,0.2027,0.22303,43991.79429417736,197246.08480553
1642723200000,2022-01-21 00:00:00,UTK/USD,0.30492,0.3118,0.2527,0.2567,121531.87740674464,473439.33543726
1642636800000,2022-01-20 00:00:00,UTK/USD,0.32817,0.34152,0.30503,0.30531,98016.22951461615,321038.38562319
1642550400000,2022-01-19 00:00:00,UTK/USD,0.35183,0.3544,0.32812,0.32825,104119.61852435533,317196.09603764
1642464000000,2022-01-18 00:00:00,UTK/USD,0.35737,0.36332,0.34295,0.35074,114693.01382021117,327002.94754009
1642377600000,2022-01-17 00:00:00,UTK/USD,0.35999,0.37964,0.34187,0.35849,181973.804096624,507611.93923575
1642291200000,2022-01-16 00:00:00,UTK/USD,0.36508,0.37268,0.35791,0.35953,102038.73676451435,283811.46709458
1642204800000,2022-01-15 00:00:00,UTK/USD,0.37424,0.37662,0.36222,0.36565,129627.19870653765,354511.68797084
1642118400000,2022-01-14 00:00:00,UTK/USD,0.37101,0.38001,0.3587,0.37408,156681.8975344005,418845.96218563
1642032000000,2022-01-13 00:00:00,UTK/USD,0.40136,0.4047,0.37062,0.37101,111656.71492882102,300953.38381397
1641945600000,2022-01-12 00:00:00,UTK/USD,0.39368,0.40752,0.38028,0.40084,165719.01408935513,413429.33362278
1641859200000,2022-01-11 00:00:00,UTK/USD,0.38853,0.45296,0.34758,0.39406,185862.45444527594,471660.29144109
1641772800000,2022-01-10 00:00:00,UTK/USD,0.34927,0.39749,0.34536,0.38975,34303.97149096713,88015.32133667001
