https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZMT
1641427200000,2022-01-06 00:00:00,ZMT/USD,3.42,3.4955,2.9,3.0574,905439.7953315217,296146.98610961
1641340800000,2022-01-05 00:00:00,ZMT/USD,3.6838,3.7107,3.42,3.42,398031.5618803044,116383.49762582
1641254400000,2022-01-04 00:00:00,ZMT/USD,3.8747,3.8984,3.5633,3.6838,733738.0068242562,199179.65329938
1641168000000,2022-01-03 00:00:00,ZMT/USD,3.6031,3.9249,3.5955,3.8747,391375.132303007,101007.85410561
1641081600000,2022-01-02 00:00:00,ZMT/USD,3.6318,3.9195,3.4311,3.6031,762576.5705995315,211644.57567082
1640995200000,2022-01-01 00:00:00,ZMT/USD,4.3981,4.5204,3.6,3.6326,1082733.2703915986,298060.14160425
1640908800000,2021-12-31 00:00:00,ZMT/USD,4.36,4.7,4.0,4.3982,956603.6483519574,217498.89690145
1640822400000,2021-12-30 00:00:00,ZMT/USD,4.0154,4.4009,3.9523,4.36,1046963.0888337052,240129.14881507
1640736000000,2021-12-29 00:00:00,ZMT/USD,3.9205,4.12,3.8,4.0155,393376.5768296529,97964.53164728
1640649600000,2021-12-28 00:00:00,ZMT/USD,4.0111,4.18,3.8,3.9205,670118.338105181,170926.75375722
1640563200000,2021-12-27 00:00:00,ZMT/USD,3.6202,4.2654,3.5523,4.0303,1458051.0920029809,361772.34746867
1640476800000,2021-12-26 00:00:00,ZMT/USD,3.406,3.6534,3.32,3.6202,299798.80209542677,82812.7733538
1640390400000,2021-12-25 00:00:00,ZMT/USD,3.3165,3.486,3.245,3.406,144941.48186485554,42554.75098792
1640304000000,2021-12-24 00:00:00,ZMT/USD,3.2344,3.399,3.225,3.2995,118406.74934984099,35886.27045002
