https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZIL
1642032000000,2022-01-13 00:00:00,ZIL/USD,0.065579,0.068852,0.063635,0.063635,38114.92041888918,598961.58433078
1641945600000,2022-01-12 00:00:00,ZIL/USD,0.06092,0.066315,0.060694,0.065806,17887.248233092967,271817.89248842
1641859200000,2022-01-11 00:00:00,ZIL/USD,0.0587,0.060851,0.0585,0.060536,21754.961793053462,359372.30396877
1641772800000,2022-01-10 00:00:00,ZIL/USD,0.061932,0.0628,0.056358,0.059153,15304.298401755852,258723.95993028
1641686400000,2022-01-09 00:00:00,ZIL/USD,0.060657,0.063188,0.060614,0.062,8472.1658934141,136647.83699055
1641600000000,2022-01-08 00:00:00,ZIL/USD,0.064271,0.065072,0.059521,0.061,15045.24184108464,246643.30887024
1641513600000,2022-01-07 00:00:00,ZIL/USD,0.065902,0.0662,0.06038,0.06374,44811.8099266924,703040.63267481
1641427200000,2022-01-06 00:00:00,ZIL/USD,0.066284,0.066592,0.062677,0.065714,14551.65440061925,221439.18191891
1641340800000,2022-01-05 00:00:00,ZIL/USD,0.071681,0.072659,0.062635,0.06756,26006.16754535336,384934.39232317
1641254400000,2022-01-04 00:00:00,ZIL/USD,0.073184,0.074411,0.070962,0.070962,13997.856561583802,197258.4842815
1641168000000,2022-01-03 00:00:00,ZIL/USD,0.077024,0.07763,0.073333,0.074224,8338.532473418414,112342.80655069
1641081600000,2022-01-02 00:00:00,ZIL/USD,0.075398,0.07783,0.075398,0.076476,9883.062846818571,129230.90704036
1640995200000,2022-01-01 00:00:00,ZIL/USD,0.075582,0.076456,0.074947,0.075779,3927.14716801435,51823.68687914
1640908800000,2021-12-31 00:00:00,ZIL/USD,0.078396,0.079916,0.0735,0.074738,25241.210141680996,337729.26947043
1640822400000,2021-12-30 00:00:00,ZIL/USD,0.080033,0.08304,0.075863,0.078185,37683.34979945563,481976.7193126
1640736000000,2021-12-29 00:00:00,ZIL/USD,0.07626,0.082075,0.07626,0.079971,67179.94933808726,840053.88625986
1640649600000,2021-12-28 00:00:00,ZIL/USD,0.077986,0.08313,0.074137,0.075337,53671.19060496734,712414.75775472
1640563200000,2021-12-27 00:00:00,ZIL/USD,0.076195,0.085059,0.076195,0.080448,72611.2228109193,902585.80463056
