https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TSD
1642377600000,2022-01-17 00:00:00,TSD/USD,1.0005,1.0186,1.0005,1.0025,488.755707363,487.5368652
1642291200000,2022-01-16 00:00:00,TSD/USD,1.0005,1.0186,1.0,1.0005,883.2227361927601,882.7813455200001
1642204800000,2022-01-15 00:00:00,TSD/USD,1.0005,1.0187,1.0,1.0005,492.843541371375,492.59724275
1642118400000,2022-01-14 00:00:00,TSD/USD,1.0005,1.0186,1.0004,1.0025,3067.44138762965,3059.79190786
1642032000000,2022-01-13 00:00:00,TSD/USD,1.0,1.0186,1.0,1.0005,1629.1568349918298,1628.34266366
1641945600000,2022-01-12 00:00:00,TSD/USD,1.0,1.0187,1.0,1.0005,502.35526072430997,502.10420862
1641859200000,2022-01-11 00:00:00,TSD/USD,1.0006,1.0187,1.0001,1.0006,464.7066571301979,464.42800033
1641772800000,2022-01-10 00:00:00,TSD/USD,1.0006,1.0187,1.0002,1.0006,506.98765954961596,506.68364936
1641686400000,2022-01-09 00:00:00,TSD/USD,1.0006,1.0187,1.0001,1.0006,480.617547069676,480.32934946
1641600000000,2022-01-08 00:00:00,TSD/USD,1.0006,1.0187,1.0001,1.0025,482.80754852919995,481.60353968
1641513600000,2022-01-07 00:00:00,TSD/USD,1.0007,1.0248,1.0001,1.0006,2502.597593030922,2501.09693487
1641427200000,2022-01-06 00:00:00,TSD/USD,1.0007,1.0248,1.0001,1.0007,478.117559447889,477.78311127
1641340800000,2022-01-05 00:00:00,TSD/USD,1.0008,1.0233,1.0001,1.0007,479.50020209071795,479.16478674
1641254400000,2022-01-04 00:00:00,TSD/USD,1.0005,1.0233,1.0002,1.0028,2486.15359670022,2479.21180365
1641168000000,2022-01-03 00:00:00,TSD/USD,1.0,1.0231,1.0,1.0005,438.68981310891,438.47057782
1641081600000,2022-01-02 00:00:00,TSD/USD,1.0006,1.0233,1.0001,1.0005,480.14434554667497,479.90439335
1640995200000,2022-01-01 00:00:00,TSD/USD,1.0005,1.0233,1.0002,1.0026,2840.5498599047337,2833.18358259
1640908800000,2021-12-31 00:00:00,TSD/USD,1.0006,1.0232,1.0001,1.0005,2566.07792680452,2564.79552904
1640822400000,2021-12-30 00:00:00,TSD/USD,1.0007,1.0027,1.0002,1.0006,2200.9340299368278,2199.61426138
1640736000000,2021-12-29 00:00:00,TSD/USD,1.0006,1.0027,1.0001,1.0027,10143.999272367391,10116.68422496
1640649600000,2021-12-28 00:00:00,TSD/USD,1.0006,1.0249,1.0006,1.0006,3255.5632934860855,3253.61112681
1640563200000,2021-12-27 00:00:00,TSD/USD,1.0006,1.0026,1.0006,1.0006,7841.506465099481,7836.80438247
1640476800000,2021-12-26 00:00:00,TSD/USD,1.0005,1.0026,1.0005,1.0026,519.125660959518,517.77943443
1640390400000,2021-12-25 00:00:00,TSD/USD,1.0005,1.0025,1.0005,1.0005,5545.206724033139,5542.43550628
1640304000000,2021-12-24 00:00:00,TSD/USD,1.0006,1.0026,1.0005,1.0005,11979.74560092078,11973.75872156
