https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNO
1649289600000,2022-04-07 00:00:00,GNO/USD,392.43,395.58,390.89,392.64,3199.8618770207995,8.14960747
1649203200000,2022-04-06 00:00:00,GNO/USD,421.26,421.26,392.59,392.63,11435.732596866901,29.12597763
1649116800000,2022-04-05 00:00:00,GNO/USD,425.98,429.91,420.38,420.57,6511.4647757091,15.48247563
1649030400000,2022-04-04 00:00:00,GNO/USD,434.53,434.53,418.59,425.64,6789.1231525764,15.95038801
1648944000000,2022-04-03 00:00:00,GNO/USD,423.71,436.69,422.1,435.54,12003.1764854148,27.55929762
1648857600000,2022-04-02 00:00:00,GNO/USD,434.29,440.81,423.75,424.34,11105.286634652,26.1707278
1648771200000,2022-04-01 00:00:00,GNO/USD,422.07,435.01,414.05,433.68,7592.5685181215995,17.50730612
1648684800000,2022-03-31 00:00:00,GNO/USD,467.58,467.58,421.48,421.48,17108.170937686802,40.59070641
1648598400000,2022-03-30 00:00:00,GNO/USD,477.61,480.82,460.59,467.83,18322.3037780145,39.16444815
1648512000000,2022-03-29 00:00:00,GNO/USD,456.16,552.73,455.57,477.21,73859.25713078429,154.77307083
1648425600000,2022-03-28 00:00:00,GNO/USD,402.44,563.04,402.31,457.16,160982.51324415923,352.13604262
1648339200000,2022-03-27 00:00:00,GNO/USD,339.16,403.38,339.16,403.17,47840.009864863205,118.65964696
1648252800000,2022-03-26 00:00:00,GNO/USD,337.55,342.23,334.23,338.68,19142.3470423608,56.52045306
1648166400000,2022-03-25 00:00:00,GNO/USD,338.47,343.96,333.19,337.08,12337.735158608399,36.60180123
1648080000000,2022-03-24 00:00:00,GNO/USD,326.82,338.76,326.72,337.83,12282.144730063801,36.35599186
1647993600000,2022-03-23 00:00:00,GNO/USD,329.32,330.1,322.16,326.71,2453.6701379506,7.51023886
1647907200000,2022-03-22 00:00:00,GNO/USD,317.97,331.17,316.39,329.68,8901.213638564,26.99955605
1647820800000,2022-03-21 00:00:00,GNO/USD,310.63,322.65,308.89,317.4,6616.609300566,20.84628009
1647734400000,2022-03-20 00:00:00,GNO/USD,321.7,321.79,310.9,310.96,9827.431689327199,31.60352357
1647648000000,2022-03-19 00:00:00,GNO/USD,319.89,325.73,319.79,321.7,2660.3506546569997,8.26966321
1647561600000,2022-03-18 00:00:00,GNO/USD,305.76,321.67,303.6,321.15,3193.4827431434996,9.94389769
1647475200000,2022-03-17 00:00:00,GNO/USD,300.5,306.67,298.84,305.76,3282.4682995104004,10.73544054
1647388800000,2022-03-16 00:00:00,GNO/USD,286.35,311.72,284.48,301.88,38378.7109833468,127.13234061
1647302400000,2022-03-15 00:00:00,GNO/USD,295.4,295.62,280.66,285.92,8691.5353630112,30.39848686
1647216000000,2022-03-14 00:00:00,GNO/USD,286.27,299.89,285.52,295.91,40713.4247330207,137.58718776999999
1647129600000,2022-03-13 00:00:00,GNO/USD,291.63,296.6,285.38,286.69,8744.360330331,30.5010999
1647043200000,2022-03-12 00:00:00,GNO/USD,293.37,297.63,291.35,292.45,3033.911358906,10.37411988
1646956800000,2022-03-11 00:00:00,GNO/USD,299.15,304.74,289.42,293.63,2924.7519490546,9.96067142
