https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CLO
1645401600000,2022-02-21 00:00:00,CLO/USD,0.0049966,0.00515,0.0047501,0.004786,34680.53022845018,7246245.34652114
1645315200000,2022-02-20 00:00:00,CLO/USD,0.0050021,0.0052,0.0047501,0.0049737,44232.70691457152,8893320.24741571
1645228800000,2022-02-19 00:00:00,CLO/USD,0.0047686,0.0054,0.0045701,0.0050224,70786.17007192376,14094092.48007402
1645142400000,2022-02-18 00:00:00,CLO/USD,0.0049588,0.0049588,0.0045378,0.0047783,25208.662951354,5275655.13914028
1645056000000,2022-02-17 00:00:00,CLO/USD,0.00495,0.0051271,0.0047111,0.0049578,37477.66040263209,7559332.84977855
1644969600000,2022-02-16 00:00:00,CLO/USD,0.0049613,0.0049739,0.0046421,0.0049556,22257.597206272098,4491403.10078943
1644883200000,2022-02-15 00:00:00,CLO/USD,0.0045203,0.00519,0.004497,0.0049066,43010.58305325808,8765862.93018752
1644796800000,2022-02-14 00:00:00,CLO/USD,0.0048183,0.00489,0.004235,0.0045319,33230.14846073842,7332498.1709081
1644710400000,2022-02-13 00:00:00,CLO/USD,0.0049479,0.0050381,0.0048,0.0048,22835.449963251405,4757385.40901071
1644624000000,2022-02-12 00:00:00,CLO/USD,0.0048972,0.00505,0.00484,0.0049597,27913.979238691438,5628158.80772858
1644537600000,2022-02-11 00:00:00,CLO/USD,0.0050874,0.0051806,0.0048928,0.0048973,34914.14760326592,7129264.61586301
1644451200000,2022-02-10 00:00:00,CLO/USD,0.0053661,0.0053993,0.005054,0.0050582,32247.811334690487,6375353.15619993
1644364800000,2022-02-09 00:00:00,CLO/USD,0.0051829,0.00549,0.0051,0.0053826,27267.07190314914,5065780.83141031
1644278400000,2022-02-08 00:00:00,CLO/USD,0.0054068,0.0054514,0.0051,0.0051432,27142.91888932645,5277437.95483871
1644192000000,2022-02-07 00:00:00,CLO/USD,0.005227,0.00549,0.0051305,0.0054105,35292.72057429001,6523005.37367896
1644105600000,2022-02-06 00:00:00,CLO/USD,0.0051687,0.00535,0.0050531,0.0052092,23542.18858812262,4519348.18938083
1644019200000,2022-02-05 00:00:00,CLO/USD,0.0050999,0.00549,0.0050891,0.0051753,28893.147798202262,5582893.31984663
1643932800000,2022-02-04 00:00:00,CLO/USD,0.005114,0.0052,0.00491,0.0050998,35999.38380443603,7058979.52947881
1643846400000,2022-02-03 00:00:00,CLO/USD,0.0050077,0.0052039,0.0048604,0.0051,45155.55985673131,8854031.34445712
1643760000000,2022-02-02 00:00:00,CLO/USD,0.0050154,0.0050742,0.0047524,0.0050262,46181.164226312125,9188087.26797822
1643673600000,2022-02-01 00:00:00,CLO/USD,0.0050378,0.0052,0.0049101,0.005025,25222.087466265828,5019320.88880912
1643587200000,2022-01-31 00:00:00,CLO/USD,0.0050911,0.0051456,0.0047171,0.0050687,27359.64287555889,5397763.30726989
1643500800000,2022-01-30 00:00:00,CLO/USD,0.0050422,0.00526,0.0050005,0.0050962,40138.30636936162,7876124.63587803
1643414400000,2022-01-29 00:00:00,CLO/USD,0.0049466,0.005193,0.0049193,0.0050254,48725.72690428245,9695890.2583441
1643328000000,2022-01-28 00:00:00,CLO/USD,0.0049038,0.0052842,0.0046432,0.0049446,46738.81573093653,9452496.81085154
1643241600000,2022-01-27 00:00:00,CLO/USD,0.0046782,0.00515,0.0044952,0.0047658,52474.52454058174,11010643.44718237
1643155200000,2022-01-26 00:00:00,CLO/USD,0.0048476,0.005171,0.0046337,0.00467,34589.43199541387,7406730.62000297
1643068800000,2022-01-25 00:00:00,CLO/USD,0.0047929,0.0049503,0.0044123,0.0048474,31289.267937314817,6454855.78605331
1642982400000,2022-01-24 00:00:00,CLO/USD,0.0049286,0.0049293,0.0044107,0.0047893,35999.72590790092,7516698.8720483
1642896000000,2022-01-23 00:00:00,CLO/USD,0.0048514,0.00545,0.0046422,0.0049209,37991.39944051481,7720416.88319511
1642809600000,2022-01-22 00:00:00,CLO/USD,0.0052263,0.0058199,0.00453,0.0048374,48864.33628287703,10101363.60087589
1642723200000,2022-01-21 00:00:00,CLO/USD,0.005658,0.0056614,0.005,0.0052292,47758.00065896566,9132945.8920993
1642636800000,2022-01-20 00:00:00,CLO/USD,0.0054375,0.0059758,0.0053638,0.0056353,62248.22671918884,11046124.73500769
1642550400000,2022-01-19 00:00:00,CLO/USD,0.0053359,0.0055385,0.005217,0.0054827,23555.48068902826,4296328.57698365
1642464000000,2022-01-18 00:00:00,CLO/USD,0.0054859,0.00565,0.0051021,0.0052996,27735.191488083572,5233449.97510823
1642377600000,2022-01-17 00:00:00,CLO/USD,0.0057026,0.0059751,0.0051473,0.0054905,50112.3001388751,9127092.27554414
1642291200000,2022-01-16 00:00:00,CLO/USD,0.0059883,0.0060496,0.0055041,0.005703,38741.56036056695,6793189.61258407
1642204800000,2022-01-15 00:00:00,CLO/USD,0.0060395,0.0061224,0.0059102,0.0060174,30616.385653917863,5087975.8124635
1642118400000,2022-01-14 00:00:00,CLO/USD,0.0060552,0.0062433,0.0059,0.0060011,36864.78029505536,6143003.83180673
1642032000000,2022-01-13 00:00:00,CLO/USD,0.0061013,0.00649,0.0059901,0.0060579,71460.1313316636,11796188.66796474
1641945600000,2022-01-12 00:00:00,CLO/USD,0.0056122,0.00665,0.0056056,0.006103,79841.11735034006,13082273.85717517
1641859200000,2022-01-11 00:00:00,CLO/USD,0.0051931,0.0062619,0.0050605,0.0056172,53655.02011171183,9551915.5649989
1641772800000,2022-01-10 00:00:00,CLO/USD,0.0053745,0.005442,0.004931,0.0051816,35924.73714060253,6933135.9311028505
1641686400000,2022-01-09 00:00:00,CLO/USD,0.0052881,0.0055805,0.00502,0.0053573,33674.73147225955,6285765.49236734
