https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAT
1640390400000,2021-12-25 00:00:00,DAT/USD,0.123,0.123,0.12242,0.12297,1524.318938413943,12395.86027823
1640304000000,2021-12-24 00:00:00,DAT/USD,0.1253,0.12796,0.12328,0.12328,5526.93896047935,44832.40558468
1640217600000,2021-12-23 00:00:00,DAT/USD,0.12278,0.12459,0.11901,0.12393,2771.935427478049,22366.94446444
1640131200000,2021-12-22 00:00:00,DAT/USD,0.11946,0.12494,0.11795,0.124,1637.6173528596798,13206.59155532
1640044800000,2021-12-21 00:00:00,DAT/USD,0.11993,0.121,0.11728,0.11925,1080.061436936385,9057.11896802
1639958400000,2021-12-20 00:00:00,DAT/USD,0.11436,0.12007,0.11016,0.11431,1033.755426288914,9043.4382494
1639872000000,2021-12-19 00:00:00,DAT/USD,0.11443,0.116,0.11382,0.114,1802.62413102588,15812.49237742
1639785600000,2021-12-18 00:00:00,DAT/USD,0.11243,0.12013,0.11243,0.11869,2100.046279478905,17693.54014221
1639699200000,2021-12-17 00:00:00,DAT/USD,0.11708,0.11708,0.112,0.11417,592.0958603388625,5186.08969378
1639612800000,2021-12-16 00:00:00,DAT/USD,0.12078,0.12348,0.11578,0.11578,5159.37951840241,44561.9236345
1639526400000,2021-12-15 00:00:00,DAT/USD,0.1113,0.12163,0.11128,0.12078,5324.650534388751,44085.53182968
1639440000000,2021-12-14 00:00:00,DAT/USD,0.11119,0.11539,0.11,0.11034,5854.774083127659,53061.21155635
1639353600000,2021-12-13 00:00:00,DAT/USD,0.12211,0.12463,0.11078,0.11078,7036.452056136403,63517.35020885
1639267200000,2021-12-12 00:00:00,DAT/USD,0.12414,0.13267,0.11919,0.12579,10652.168990918302,84682.1606719
1639180800000,2021-12-11 00:00:00,DAT/USD,0.12,0.12474,0.117,0.12474,3134.74211389051,25130.20774323
1639094400000,2021-12-10 00:00:00,DAT/USD,0.1315,0.1315,0.12,0.12,24194.868703040396,201623.90585866998
1639008000000,2021-12-09 00:00:00,DAT/USD,0.13896,0.13896,0.12968,0.12968,3801.6333354239205,29315.49456681
1638921600000,2021-12-08 00:00:00,DAT/USD,0.13716,0.141,0.13159,0.13644,15584.945927413924,114225.63711092
