https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GTX
1646956800000,2022-03-11 00:00:00,GTX/USD,6.3379,6.3778,6.1359,6.3203,32876.966245409996,5201.8047
1646870400000,2022-03-10 00:00:00,GTX/USD,6.6544,6.6937,6.1184,6.3379,43480.86593768947,6860.45313711
1646784000000,2022-03-09 00:00:00,GTX/USD,6.5587,6.7141,6.457,6.6544,32074.011051985697,4819.97040334
1646697600000,2022-03-08 00:00:00,GTX/USD,6.7671,6.8264,6.3458,6.5587,25582.108968178283,3900.48469486
1646611200000,2022-03-07 00:00:00,GTX/USD,6.8066,6.8578,6.5968,6.767,22379.40118125033,3307.13775399
1646524800000,2022-03-06 00:00:00,GTX/USD,6.7938,6.995,6.6994,6.8065,19774.788962193274,2905.28009435
1646438400000,2022-03-05 00:00:00,GTX/USD,6.6784,6.7958,6.6063,6.7945,17812.31582528567,2621.57860406
1646352000000,2022-03-04 00:00:00,GTX/USD,6.7959,6.7997,6.6398,6.6834,17533.084279718718,2623.3779632700002
1646265600000,2022-03-03 00:00:00,GTX/USD,6.8049,6.8258,6.6737,6.796,9165.682507699159,1348.68783221
1646179200000,2022-03-02 00:00:00,GTX/USD,6.7578,6.8467,6.7042,6.805,9571.570461478499,1406.5496636999999
1646092800000,2022-03-01 00:00:00,GTX/USD,6.7145,6.8035,6.5127,6.7578,10493.24819490759,1552.76098655
1646006400000,2022-02-28 00:00:00,GTX/USD,6.3357,6.7301,6.3357,6.7152,6795.677024007168,1011.98430784
1645920000000,2022-02-27 00:00:00,GTX/USD,6.4166,6.4976,6.2912,6.3357,4813.039943433519,759.66979867
1645833600000,2022-02-26 00:00:00,GTX/USD,6.3172,6.4472,6.3172,6.4166,5056.743583607642,788.07212287
1645747200000,2022-02-25 00:00:00,GTX/USD,6.2447,6.3457,6.1729,6.3172,5856.35343237024,927.0489192
1645660800000,2022-02-24 00:00:00,GTX/USD,6.1527,6.2996,5.6267,6.2362,15375.052258739157,2465.45207959
1645574400000,2022-02-23 00:00:00,GTX/USD,6.1908,6.368,6.1528,6.1528,5870.465225011072,954.11279824
1645488000000,2022-02-22 00:00:00,GTX/USD,6.0861,6.1907,6.0284,6.1907,8010.592105301447,1293.97194264
1645401600000,2022-02-21 00:00:00,GTX/USD,6.2601,6.4705,6.0769,6.0861,7717.846910663292,1268.11043372
1645315200000,2022-02-20 00:00:00,GTX/USD,6.6522,6.6522,6.2074,6.26,9602.198774803599,1533.89756786
1645228800000,2022-02-19 00:00:00,GTX/USD,6.6401,6.6989,6.5689,6.6515,5468.810196752025,822.19201635
1645142400000,2022-02-18 00:00:00,GTX/USD,6.5872,6.6981,6.5437,6.6401,6549.315426240634,986.32783034
1645056000000,2022-02-17 00:00:00,GTX/USD,6.8808,6.8809,6.5539,6.5872,7170.573333618385,1088.56165497
1644969600000,2022-02-16 00:00:00,GTX/USD,6.9307,6.9309,6.7138,6.8723,6111.100206699629,889.23653023
1644883200000,2022-02-15 00:00:00,GTX/USD,6.6593,6.9307,6.6586,6.9307,7096.622330001372,1023.94019796
1644796800000,2022-02-14 00:00:00,GTX/USD,6.774,6.774,6.6478,6.6593,8451.361581446592,1269.10660001
1644710400000,2022-02-13 00:00:00,GTX/USD,6.7589,6.8891,6.7443,6.7738,5963.0597213085575,880.31233891
1644624000000,2022-02-12 00:00:00,GTX/USD,6.745,6.794,6.694,6.7498,6743.789765663794,999.10956853
1644537600000,2022-02-11 00:00:00,GTX/USD,6.8927,6.9662,6.7057,6.7443,8114.8614401663335,1203.21774538
1644451200000,2022-02-10 00:00:00,GTX/USD,7.0447,7.0488,6.8384,6.9137,10147.258244028619,1467.70300187
1644364800000,2022-02-09 00:00:00,GTX/USD,6.8129,7.0537,6.796,7.0251,15214.868085824392,2165.78669141
1644278400000,2022-02-08 00:00:00,GTX/USD,7.3149,7.3435,6.6142,6.8129,23443.30140959318,3441.0165142
1644192000000,2022-02-07 00:00:00,GTX/USD,7.1709,7.3151,7.1269,7.3149,20485.493363002635,2800.51584615
1644105600000,2022-02-06 00:00:00,GTX/USD,7.0314,7.1716,6.9692,7.1716,12648.13495049017,1763.64199767
1644019200000,2022-02-05 00:00:00,GTX/USD,7.0376,7.1248,6.9653,7.0316,13391.176656367665,1904.42810404
1643932800000,2022-02-04 00:00:00,GTX/USD,6.7359,7.0376,6.7212,7.0376,12982.150365364929,1844.68431928
1643846400000,2022-02-03 00:00:00,GTX/USD,6.7999,6.8492,6.6084,6.7093,10095.133159742787,1504.64775159
1643760000000,2022-02-02 00:00:00,GTX/USD,6.9329,7.0098,6.7717,6.8,10741.69089442,1579.66042565
1643673600000,2022-02-01 00:00:00,GTX/USD,6.8682,7.0444,6.8491,6.933,12791.45900083143,1845.01067371
1643587200000,2022-01-31 00:00:00,GTX/USD,6.7864,6.8947,6.636,6.8682,9786.634986782934,1424.91991887
1643500800000,2022-01-30 00:00:00,GTX/USD,6.7733,6.8757,6.7094,6.7939,8202.595327151694,1207.34708005
1643414400000,2022-01-29 00:00:00,GTX/USD,6.5932,6.7946,6.5827,6.7726,9650.855931355363,1424.98537214
1643328000000,2022-01-28 00:00:00,GTX/USD,6.5375,6.5854,6.3834,6.5853,9658.913028640398,1466.73849766
1643241600000,2022-01-27 00:00:00,GTX/USD,6.3608,6.5029,6.1996,6.4989,9788.752824436646,1506.21687123
1643155200000,2022-01-26 00:00:00,GTX/USD,6.2627,6.5324,6.197,6.3614,10498.41577957237,1650.33102455
