https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DVF
1642636800000,2022-01-20 00:00:00,DVF/USD,6.175,6.2477,6.0438,6.0438,44780.90246142026,7409.39515891
1642550400000,2022-01-19 00:00:00,DVF/USD,6.1907,6.2188,6.1681,6.1681,38526.311151653004,6246.05813
1642464000000,2022-01-18 00:00:00,DVF/USD,6.2082,6.2243,6.1736,6.2182,28450.5346305636,4575.364998
1642377600000,2022-01-17 00:00:00,DVF/USD,6.2874,6.2874,6.199,6.199,76737.641672002,12379.035598
1642291200000,2022-01-16 00:00:00,DVF/USD,6.4702,6.4702,6.2595,6.3281,67100.91408158741,10603.64312852
1642204800000,2022-01-15 00:00:00,DVF/USD,6.3774,6.4836,6.3636,6.4631,35859.477805144,5548.34024
1642118400000,2022-01-14 00:00:00,DVF/USD,6.2637,6.3674,6.2595,6.3674,31776.408267318,4990.4840699999995
1642032000000,2022-01-13 00:00:00,DVF/USD,6.547,6.5529,6.2595,6.2774,38356.201431966,6110.20509
1641945600000,2022-01-12 00:00:00,DVF/USD,6.4543,6.5786,6.454,6.5403,27857.823670404,4259.41068
1641859200000,2022-01-11 00:00:00,DVF/USD,6.3376,6.4462,6.2738,6.4462,49728.0880807064,7714.325972
1641772800000,2022-01-10 00:00:00,DVF/USD,6.4053,6.4124,6.2595,6.3395,99180.05992440501,15644.77639
1641686400000,2022-01-09 00:00:00,DVF/USD,6.5011,6.5127,6.3395,6.4271,76066.615046663,11835.29353
1641600000000,2022-01-08 00:00:00,DVF/USD,6.6898,6.7089,6.3485,6.4957,60406.63487195506,9299.480405799999
1641513600000,2022-01-07 00:00:00,DVF/USD,6.4427,6.9444,6.3093,6.691,222712.14778061002,33285.33071
1641427200000,2022-01-06 00:00:00,DVF/USD,6.6673,6.6934,6.3426,6.4577,386946.379002416,59920.15408
1641340800000,2022-01-05 00:00:00,DVF/USD,6.8967,6.8967,6.7522,6.7522,46129.90232696155,6831.83293252
1641254400000,2022-01-04 00:00:00,DVF/USD,6.854,6.9812,6.8415,6.8802,52524.7211437638,7634.185219
1641168000000,2022-01-03 00:00:00,DVF/USD,6.9718,6.9718,6.8406,6.8406,9609.68094405509,1404.8008864800001
1641081600000,2022-01-02 00:00:00,DVF/USD,6.9487,7.0083,6.8568,6.9935,39166.06655737654,5600.35269284
1640995200000,2022-01-01 00:00:00,DVF/USD,6.8088,6.9803,6.7946,6.9238,37902.3428418752,5474.211104
1640908800000,2021-12-31 00:00:00,DVF/USD,7.0144,7.0144,6.7619,6.8081,150948.9916368043,22171.97039362
1640822400000,2021-12-30 00:00:00,DVF/USD,7.2027,7.2027,6.9473,7.0133,24995.057794186298,3563.95103506
1640736000000,2021-12-29 00:00:00,DVF/USD,7.3581,7.3897,7.0984,7.1879,73855.1754710908,10274.930852
1640649600000,2021-12-28 00:00:00,DVF/USD,7.6219,7.6255,7.3545,7.3545,15813.206424498001,2150.140244
1640563200000,2021-12-27 00:00:00,DVF/USD,7.6928,7.75,7.5847,7.6259,77815.20818566099,10204.06879
1640476800000,2021-12-26 00:00:00,DVF/USD,7.7547,7.98,7.6934,7.7481,78980.34567004954,10193.51139893
1640390400000,2021-12-25 00:00:00,DVF/USD,7.7795,7.8289,7.7517,7.8192,9085.85331984,1161.9927
1640304000000,2021-12-24 00:00:00,DVF/USD,8.01,8.0285,7.7828,7.8003,47710.73491950484,6116.52563613
1640217600000,2021-12-23 00:00:00,DVF/USD,7.8275,8.0717,7.765,8.0329,160259.271424674,19950.36306
1640131200000,2021-12-22 00:00:00,DVF/USD,7.9031,7.9178,7.81,7.8124,80149.6207045356,10259.282769
1640044800000,2021-12-21 00:00:00,DVF/USD,7.9265,7.9521,7.8839,7.8839,78735.0752816612,9986.818108
