https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume JST
1644192000000,2022-02-07 00:00:00,JST/USD,0.063452,0.063473,0.059894,0.061045,126291.92753994255,2068833.27938312
1644105600000,2022-02-06 00:00:00,JST/USD,0.062482,0.068913,0.06132,0.063599,936437.2746367895,14724088.03026446
1644019200000,2022-02-05 00:00:00,JST/USD,0.05794,0.074343,0.054455,0.062451,916031.2654437663,14667999.95906817
1643932800000,2022-02-04 00:00:00,JST/USD,0.041961,0.066581,0.041853,0.057668,1352670.109765368,23456164.76668808
1643846400000,2022-02-03 00:00:00,JST/USD,0.041033,0.04195,0.04068,0.04195,698325.3611522171,16646611.70803855
1643760000000,2022-02-02 00:00:00,JST/USD,0.042034,0.043854,0.041029,0.041051,727299.3122348507,17716969.4339931
1643673600000,2022-02-01 00:00:00,JST/USD,0.042127,0.04291,0.041966,0.042038,697670.3484917354,16596183.17930766
1643587200000,2022-01-31 00:00:00,JST/USD,0.041867,0.042265,0.040008,0.042157,924707.416141556,21934848.68803653
1643500800000,2022-01-30 00:00:00,JST/USD,0.042966,0.043434,0.041264,0.041867,654101.9329193361,15623329.42220212
1643414400000,2022-01-29 00:00:00,JST/USD,0.04176,0.043274,0.041466,0.043026,560520.2401187111,13027477.34204228
1643328000000,2022-01-28 00:00:00,JST/USD,0.041133,0.041846,0.040195,0.041788,198947.92935080567,4760886.60263247
1643241600000,2022-01-27 00:00:00,JST/USD,0.039984,0.041279,0.038963,0.041111,502494.587186808,12222874.34474491
1643155200000,2022-01-26 00:00:00,JST/USD,0.0393,0.044489,0.038898,0.039957,1773019.7478715698,44373194.88128663
1643068800000,2022-01-25 00:00:00,JST/USD,0.037896,0.03951,0.037461,0.039299,2113517.707531212,53780444.98667172
1642982400000,2022-01-24 00:00:00,JST/USD,0.039795,0.039796,0.0349,0.037856,2162517.4654769837,57124827.38474703
1642896000000,2022-01-23 00:00:00,JST/USD,0.038828,0.040447,0.038318,0.039795,3666641.4690496805,92138245.23306146
1642809600000,2022-01-22 00:00:00,JST/USD,0.04254,0.043118,0.035859,0.03885,2137586.2759078727,55021525.76339441
1642723200000,2022-01-21 00:00:00,JST/USD,0.048055,0.048778,0.04175,0.042617,2516167.9079265115,59041413.23712395
1642636800000,2022-01-20 00:00:00,JST/USD,0.049886,0.051611,0.047958,0.048078,3679904.788429229,76540305.0964938
1642550400000,2022-01-19 00:00:00,JST/USD,0.050223,0.050778,0.048302,0.049807,3135649.7166867536,62956004.5111481
1642464000000,2022-01-18 00:00:00,JST/USD,0.053677,0.054086,0.049464,0.05015,3236400.354600055,64534403.88036002
1642377600000,2022-01-17 00:00:00,JST/USD,0.051937,0.056023,0.051655,0.053646,4024231.10250602,75014560.31215785
1642291200000,2022-01-16 00:00:00,JST/USD,0.050965,0.052397,0.050908,0.051885,2985299.2467391826,57536845.8463753
1642204800000,2022-01-15 00:00:00,JST/USD,0.051,0.051981,0.049915,0.050975,2481003.0021945294,48670976.01166316
1642118400000,2022-01-14 00:00:00,JST/USD,0.04957,0.051169,0.049192,0.05096,2276510.0803312203,44672489.80241798
1642032000000,2022-01-13 00:00:00,JST/USD,0.050615,0.051595,0.04954,0.049546,3033062.2780396887,61217096.79973537
1641945600000,2022-01-12 00:00:00,JST/USD,0.048177,0.050831,0.048175,0.050615,3481179.9861773322,68777634.81531823
1641859200000,2022-01-11 00:00:00,JST/USD,0.047061,0.048363,0.04647,0.048176,2801531.3748383024,58152012.92839386
1641772800000,2022-01-10 00:00:00,JST/USD,0.04929,0.050105,0.045585,0.047022,2780669.6027425015,59135502.58905409
1641686400000,2022-01-09 00:00:00,JST/USD,0.048471,0.050137,0.04809,0.049318,3220720.924196211,65305181.15487674
1641600000000,2022-01-08 00:00:00,JST/USD,0.050317,0.05104,0.047424,0.04848,2990430.8441696526,61683804.54145323
1641513600000,2022-01-07 00:00:00,JST/USD,0.052107,0.052121,0.049313,0.05017,2895487.6683873124,57713527.37467237
1641427200000,2022-01-06 00:00:00,JST/USD,0.051808,0.052234,0.050417,0.052121,3318019.160763086,63659929.02597966
1641340800000,2022-01-05 00:00:00,JST/USD,0.055779,0.056566,0.051021,0.051891,2600025.37401078,50105516.83356998
1641254400000,2022-01-04 00:00:00,JST/USD,0.056666,0.059686,0.055397,0.055768,3151022.4338126983,56502338.86480954
1641168000000,2022-01-03 00:00:00,JST/USD,0.057248,0.058529,0.056072,0.056678,3711361.1297900397,65481511.87039133
1641081600000,2022-01-02 00:00:00,JST/USD,0.055216,0.05817,0.05474,0.057273,2213963.9464583974,38656329.27310246
1640995200000,2022-01-01 00:00:00,JST/USD,0.053744,0.055167,0.053744,0.055167,2511813.777386003,45531092.45356831
1640908800000,2021-12-31 00:00:00,JST/USD,0.055355,0.055939,0.052823,0.053731,2054297.0085584826,38232994.14785659
1640822400000,2021-12-30 00:00:00,JST/USD,0.054115,0.055886,0.05385,0.055356,2904236.879283123,52464717.09088668
1640736000000,2021-12-29 00:00:00,JST/USD,0.055324,0.057034,0.053963,0.054108,2261285.2715510144,41792069.03879305
1640649600000,2021-12-28 00:00:00,JST/USD,0.059231,0.059231,0.055046,0.055334,2200277.244524292,39763567.5086618
1640563200000,2021-12-27 00:00:00,JST/USD,0.058567,0.060469,0.058101,0.059229,2388174.7634767178,40321038.06373091
1640476800000,2021-12-26 00:00:00,JST/USD,0.058633,0.058798,0.057117,0.058559,2232490.3422589633,38123778.45009244
1640390400000,2021-12-25 00:00:00,JST/USD,0.057613,0.059101,0.057444,0.05863,2401918.663757055,40967400.02996853
1640304000000,2021-12-24 00:00:00,JST/USD,0.059419,0.059949,0.057416,0.057597,2442757.907568201,42411200.36752263
1640217600000,2021-12-23 00:00:00,JST/USD,0.056089,0.059424,0.055458,0.059396,2587092.162727606,43556673.22256728
1640131200000,2021-12-22 00:00:00,JST/USD,0.055717,0.056733,0.055539,0.055979,2329972.3851238084,41622258.08113415
