https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FCL
1642809600000,2022-01-22 00:00:00,FCL/USD,0.10541,0.11015,0.09231,0.095689,4632.194067601042,48408.84602829
1642723200000,2022-01-21 00:00:00,FCL/USD,0.12584,0.13045,0.10588,0.10837,7379.012785929267,68090.91802094
1642636800000,2022-01-20 00:00:00,FCL/USD,0.14401,0.14837,0.12788,0.12965,9054.453518369084,69837.6669369
1642550400000,2022-01-19 00:00:00,FCL/USD,0.13798,0.14927,0.13443,0.14062,7261.032268819538,51635.84318603
1642464000000,2022-01-18 00:00:00,FCL/USD,0.1442,0.14532,0.13062,0.13959,14599.767509622583,104590.35396248
1642377600000,2022-01-17 00:00:00,FCL/USD,0.14781,0.15561,0.1384,0.14257,6823.834849158486,47863.04867194
1642291200000,2022-01-16 00:00:00,FCL/USD,0.13363,0.17616,0.13124,0.15237,10108.982524125402,66344.96635903
1642204800000,2022-01-15 00:00:00,FCL/USD,0.12788,0.13563,0.12788,0.1353,1026.670407066447,7588.10352599
1642118400000,2022-01-14 00:00:00,FCL/USD,0.13011,0.13244,0.12401,0.13092,4614.8229417907905,35249.18226238
1642032000000,2022-01-13 00:00:00,FCL/USD,0.13522,0.13998,0.12696,0.13018,3679.762893649957,28266.72986365
1641945600000,2022-01-12 00:00:00,FCL/USD,0.14021,0.14995,0.13316,0.13524,3189.9282792561826,23587.16562597
1641859200000,2022-01-11 00:00:00,FCL/USD,0.13456,0.14296,0.13434,0.13894,2616.4476093221638,18831.49279777
1641772800000,2022-01-10 00:00:00,FCL/USD,0.14523,0.14594,0.13269,0.1342,6620.697039129999,49334.55319769
1641686400000,2022-01-09 00:00:00,FCL/USD,0.14168,0.1503,0.13816,0.14727,9556.862726375883,64893.479502789996
1641600000000,2022-01-08 00:00:00,FCL/USD,0.14465,0.15203,0.13733,0.14165,13756.128057294705,97113.50552273
