https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MKR
1648857600000,2022-04-02 00:00:00,MKR/USD,2270.5,2349.9,2213.8,2227.7,152331.018550282,68.38040066
1648771200000,2022-04-01 00:00:00,MKR/USD,2094.0,2342.8,2025.7,2272.5,167112.408656025,73.53681349
1648684800000,2022-03-31 00:00:00,MKR/USD,2175.9,2230.7,2031.9,2086.6,161304.94560403997,77.3051594
1648598400000,2022-03-30 00:00:00,MKR/USD,2118.7,2290.5,2073.3,2173.9,191045.80452264298,87.88159737
1648512000000,2022-03-29 00:00:00,MKR/USD,2037.3,2216.4,2037.3,2129.1,82517.61243750299,38.75703933
1648425600000,2022-03-28 00:00:00,MKR/USD,2057.3,2192.6,2033.8,2037.3,91707.296868786,45.01413482
1648339200000,2022-03-27 00:00:00,MKR/USD,2017.0,2059.8,1967.7,2059.8,27296.856739410003,13.25218795
1648252800000,2022-03-26 00:00:00,MKR/USD,2009.6,2021.6,1976.1,2015.4,6636.9399402,3.293113
1648166400000,2022-03-25 00:00:00,MKR/USD,2009.5,2063.0,1934.5,2008.2,43853.789404464,21.837361519999998
1648080000000,2022-03-24 00:00:00,MKR/USD,1986.9,2060.3,1976.1,2006.9,242619.61516092301,120.89272767
1647993600000,2022-03-23 00:00:00,MKR/USD,2040.2,2047.3,1955.7,1988.3,107381.167970962,54.00652214
1647907200000,2022-03-22 00:00:00,MKR/USD,1995.1,2114.9,1995.1,2037.0,50960.07980847,25.01722131
1647820800000,2022-03-21 00:00:00,MKR/USD,1992.2,2043.8,1961.8,1998.1,85265.24938802,42.6731642
1647734400000,2022-03-20 00:00:00,MKR/USD,2065.0,2110.6,1979.6,1990.3,94873.485437757,47.66793219
1647648000000,2022-03-19 00:00:00,MKR/USD,2034.8,2096.7,2033.6,2062.3,105933.21878292601,51.36654162
1647561600000,2022-03-18 00:00:00,MKR/USD,2061.9,2096.0,2031.4,2035.5,109471.21332771001,53.78099402
1647475200000,2022-03-17 00:00:00,MKR/USD,1928.9,2093.5,1924.2,2062.4,213864.436154944,103.69687556
1647388800000,2022-03-16 00:00:00,MKR/USD,1789.6,2014.5,1737.7,1925.5,291628.502718185,151.45598687
1647302400000,2022-03-15 00:00:00,MKR/USD,1794.4,1862.8,1722.7,1787.3,94325.627843608,52.77548696
1647216000000,2022-03-14 00:00:00,MKR/USD,1684.6,1797.6,1674.4,1796.5,114166.28487945501,63.54928187
1647129600000,2022-03-13 00:00:00,MKR/USD,1737.9,1782.8,1675.9,1685.7,66180.77769291299,39.26011609
1647043200000,2022-03-12 00:00:00,MKR/USD,1751.0,1787.6,1739.1,1739.1,74936.053691763,43.08898493
1646956800000,2022-03-11 00:00:00,MKR/USD,1768.8,1795.0,1705.4,1750.6,87607.00217169599,50.043986159999996
1646870400000,2022-03-10 00:00:00,MKR/USD,1901.1,1916.9,1763.6,1770.2,198042.098556894,111.87554997
1646784000000,2022-03-09 00:00:00,MKR/USD,1748.6,1924.1,1745.7,1911.1,156150.548832027,81.70715757
1646697600000,2022-03-08 00:00:00,MKR/USD,1737.9,1791.5,1719.6,1752.2,127706.28086416,72.8833928
