https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAL
1640822400000,2021-12-30 00:00:00,BAL/USD,15.784,16.73,15.577,16.658,37056.2028701305,2224.52892725
1640736000000,2021-12-29 00:00:00,BAL/USD,16.431,16.717,15.69,15.806,42805.993648275056,2708.21166951
1640649600000,2021-12-28 00:00:00,BAL/USD,18.197,18.197,16.231,16.464,106250.67457203695,6453.51521939
1640563200000,2021-12-27 00:00:00,BAL/USD,18.151,18.781,18.101,18.237,94721.11660667417,5193.89793314
1640476800000,2021-12-26 00:00:00,BAL/USD,18.227,18.401,17.712,18.166,56198.467806076624,3093.60716757
1640390400000,2021-12-25 00:00:00,BAL/USD,18.258,18.475,17.957,18.303,60578.00008292334,3309.73064978
1640304000000,2021-12-24 00:00:00,BAL/USD,19.206,19.206,18.143,18.356,46567.41904201608,2536.90450218
1640217600000,2021-12-23 00:00:00,BAL/USD,17.91,19.404,17.71,19.217,80493.1757291859,4188.64420717
1640131200000,2021-12-22 00:00:00,BAL/USD,18.618,19.012,17.894,17.932,67824.48604854588,3782.31575109
1640044800000,2021-12-21 00:00:00,BAL/USD,18.18,18.941,17.924,18.576,75405.81397970449,4059.3138447300003
1639958400000,2021-12-20 00:00:00,BAL/USD,17.457,18.254,16.876,18.168,117031.27646956847,6441.61583386
1639872000000,2021-12-19 00:00:00,BAL/USD,18.114,18.521,17.484,17.484,94643.20644887102,5413.13237525
1639785600000,2021-12-18 00:00:00,BAL/USD,16.386,18.857,16.085,18.072,246762.97178421885,13654.43624304
1639699200000,2021-12-17 00:00:00,BAL/USD,14.891,16.631,14.481,16.442,149968.0004521036,9121.03153218
1639612800000,2021-12-16 00:00:00,BAL/USD,14.942,15.875,14.724,14.854,78461.55497634328,5282.18358532
1639526400000,2021-12-15 00:00:00,BAL/USD,14.029,15.01,13.167,14.93,100635.6287569771,6740.49757247
1639440000000,2021-12-14 00:00:00,BAL/USD,13.672,14.16,13.413,14.031,94570.02426095911,6740.0772761
1639353600000,2021-12-13 00:00:00,BAL/USD,15.263,15.297,13.43,13.666,95560.90251016879,6992.60226183
1639267200000,2021-12-12 00:00:00,BAL/USD,15.259,15.454,14.75,15.266,37077.95000334116,2428.79274226
