https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAX
1645228800000,2022-02-19 00:00:00,WAX/USD,0.31275,0.32469,0.31275,0.31511,1504.1606295989332,4773.44619212
1645142400000,2022-02-18 00:00:00,WAX/USD,0.32067,0.32877,0.31042,0.31042,19205.86013351202,61870.56289386
1645056000000,2022-02-17 00:00:00,WAX/USD,0.3517,0.3517,0.31827,0.32067,4339.261475027294,13531.85977805
1644969600000,2022-02-16 00:00:00,WAX/USD,0.35969,0.36149,0.34047,0.3517,2537.0213382385623,7213.59493386
1644883200000,2022-02-15 00:00:00,WAX/USD,0.34216,0.365,0.34216,0.35969,39500.02791750241,109816.86429287
1644796800000,2022-02-14 00:00:00,WAX/USD,0.3247,0.35879,0.31827,0.34216,11171.761086674116,32650.69291172
1644710400000,2022-02-13 00:00:00,WAX/USD,0.33042,0.33457,0.32147,0.32713,1605.0880183320817,4906.57542363
1644624000000,2022-02-12 00:00:00,WAX/USD,0.33373,0.33541,0.32227,0.32878,3748.4145053323346,11400.9809153
1644537600000,2022-02-11 00:00:00,WAX/USD,0.35433,0.365,0.33125,0.33125,9774.62904335925,29508.31409316
1644451200000,2022-02-10 00:00:00,WAX/USD,0.36971,0.37434,0.345,0.3517,42187.747055854335,119953.78747755
1644364800000,2022-02-09 00:00:00,WAX/USD,0.36512,0.4,0.32,0.37248,22414.177234012262,60175.51877688
1644278400000,2022-02-08 00:00:00,WAX/USD,0.38864,0.38864,0.35523,0.36786,4848.901772663443,13181.37816741
1644192000000,2022-02-07 00:00:00,WAX/USD,0.37717,0.39155,0.37529,0.39155,3015.3632496839223,7701.09372924
1644105600000,2022-02-06 00:00:00,WAX/USD,0.37156,0.3819,0.36603,0.38,5802.6181314416,15270.04771432
1644019200000,2022-02-05 00:00:00,WAX/USD,0.36149,0.37622,0.36149,0.37156,23057.138527732437,62054.95351419
1643932800000,2022-02-04 00:00:00,WAX/USD,0.34132,0.36149,0.33126,0.36149,7052.147489418866,19508.55484085
1643846400000,2022-02-03 00:00:00,WAX/USD,0.31986,0.34132,0.31986,0.34132,5105.490333127812,14958.07551016
1643760000000,2022-02-02 00:00:00,WAX/USD,0.32795,0.33934,0.31748,0.31748,4139.842102894638,13039.69416308
1643673600000,2022-02-01 00:00:00,WAX/USD,0.33207,0.3329,0.3247,0.32795,3383.7957711407607,10318.02339119
1643587200000,2022-01-31 00:00:00,WAX/USD,0.32878,0.35,0.26829,0.33207,16846.946080138823,50733.11675291
1643500800000,2022-01-30 00:00:00,WAX/USD,0.31827,0.34047,0.31827,0.33125,6871.602702417437,20744.46098843
1643414400000,2022-01-29 00:00:00,WAX/USD,0.30964,0.32145,0.30964,0.31827,2453.7919348977302,7709.780799
1643328000000,2022-01-28 00:00:00,WAX/USD,0.29826,0.30964,0.2953,0.30964,2710.524179939165,8753.79208093
1643241600000,2022-01-27 00:00:00,WAX/USD,0.28802,0.30433,0.28162,0.29826,7805.862679529675,26171.33601398
1643155200000,2022-01-26 00:00:00,WAX/USD,0.27742,0.30964,0.27742,0.28802,9055.376772395834,31440.09711963
1643068800000,2022-01-25 00:00:00,WAX/USD,0.28802,0.28945,0.26525,0.27742,10675.187434035297,38480.23730818
1642982400000,2022-01-24 00:00:00,WAX/USD,0.28874,0.28945,0.24549,0.28802,16483.89385793164,57231.76813392
1642896000000,2022-01-23 00:00:00,WAX/USD,0.26791,0.30887,0.26791,0.29091,16028.616534014865,55098.19715381
1642809600000,2022-01-22 00:00:00,WAX/USD,0.29383,0.411,0.23765,0.26791,48283.71573036846,180223.6412615
1642723200000,2022-01-21 00:00:00,WAX/USD,0.35346,0.35789,0.28802,0.29383,20548.435605231643,69933.07560573
1642636800000,2022-01-20 00:00:00,WAX/USD,0.37063,0.38286,0.35,0.35082,9574.444821072779,27291.61627351
1642550400000,2022-01-19 00:00:00,WAX/USD,0.38382,0.38382,0.36512,0.37063,4397.064195322413,11863.75683383
1642464000000,2022-01-18 00:00:00,WAX/USD,0.3945,0.3945,0.37811,0.3867,13650.477532366373,35299.91603922
1642377600000,2022-01-17 00:00:00,WAX/USD,0.40956,0.40956,0.39058,0.39746,1570.6625323567037,3951.74994303
1642291200000,2022-01-16 00:00:00,WAX/USD,0.40752,0.41263,0.40549,0.40956,379.02499371984,925.444364
1642204800000,2022-01-15 00:00:00,WAX/USD,0.40675,0.41057,0.39254,0.41057,3428.0010298566312,8349.37046023
1642118400000,2022-01-14 00:00:00,WAX/USD,0.39846,0.40751,0.39747,0.40751,543.5868603455871,1333.9227512100001
1642032000000,2022-01-13 00:00:00,WAX/USD,0.41573,0.41781,0.39648,0.39846,3990.5403293411996,10014.90822
1641945600000,2022-01-12 00:00:00,WAX/USD,0.40448,0.41677,0.39846,0.41573,1379.2674209999998,3317.7
1641859200000,2022-01-11 00:00:00,WAX/USD,0.39,0.41366,0.38191,0.40448,7368.927217607988,18218.27338214
1641772800000,2022-01-10 00:00:00,WAX/USD,0.41991,0.424,0.36971,0.39,10482.5883382077,26878.43163643
1641686400000,2022-01-09 00:00:00,WAX/USD,0.40752,0.42518,0.406,0.41991,2932.256547733908,6983.0595788
