https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PAS
1641772800000,2022-01-10 00:00:00,PAS/USD,0.0019596,0.0019596,0.0019596,0.0019596,77.28084592583072,39437.05140122
1641686400000,2022-01-09 00:00:00,PAS/USD,0.00196,0.00196,0.00196,0.00196,39.697732400704,20253.9451024
1641600000000,2022-01-08 00:00:00,PAS/USD,0.0020001,0.0020001,0.0019596,0.0019596,195.7640399996081,99899.9999998
1641513600000,2022-01-07 00:00:00,PAS/USD,0.00255,0.00255,0.0020371,0.0021102,10559.671430883682,5004109.29337678
1641427200000,2022-01-06 00:00:00,PAS/USD,0.00261,0.00261,0.00261,0.00261,122.46642,46922.0
1641340800000,2022-01-05 00:00:00,PAS/USD,0.002615,0.002615,0.0021,0.00261,1438.8310603843388,551276.26834649
1641254400000,2022-01-04 00:00:00,PAS/USD,0.00256,0.00262,0.0021,0.00262,2294.4878473883423,875758.72037723
1641168000000,2022-01-03 00:00:00,PAS/USD,0.00255,0.0025601,0.0025478,0.00256,1693.4090984615939,661487.92908656
1641081600000,2022-01-02 00:00:00,PAS/USD,0.002515,0.0025501,0.002515,0.0025501,468.79288882410407,183833.13941575
1640995200000,2022-01-01 00:00:00,PAS/USD,0.0025101,0.0025151,0.0025101,0.002515,1073.9601260782417,427021.91891779
1640908800000,2021-12-31 00:00:00,PAS/USD,0.0025,0.0025101,0.0025,0.0025101,1262.5727697,502997.0
1640822400000,2021-12-30 00:00:00,PAS/USD,0.00252,0.00252,0.00248,0.00248,224.1327144129232,90376.09452134
1640736000000,2021-12-29 00:00:00,PAS/USD,0.00251,0.00252,0.00251,0.00252,1083.32904746556,429892.479153
1640649600000,2021-12-28 00:00:00,PAS/USD,0.0024001,0.0025001,0.0024001,0.0025001,3836.682223132979,1534611.504793
1640563200000,2021-12-27 00:00:00,PAS/USD,0.002375,0.0024001,0.002375,0.0024001,488.0277746337746,203336.433746
1640476800000,2021-12-26 00:00:00,PAS/USD,0.00228,0.0023751,0.0022301,0.0023751,2117.7614859453456,891651.50349263
1640390400000,2021-12-25 00:00:00,PAS/USD,0.0022818,0.0022818,0.0022818,0.0022818,105.3675007965445,46177.36032805
1640304000000,2021-12-24 00:00:00,PAS/USD,0.00235,0.0023501,0.002346,0.0023501,1766.286586236669,751579.331193
1640217600000,2021-12-23 00:00:00,PAS/USD,0.0022,0.0023,0.0016,0.0023,8280.388555855112,3600168.9373283098
1640131200000,2021-12-22 00:00:00,PAS/USD,0.002165,0.00255,0.0020103,0.002289,2240.1395862580202,978654.25349848
1640044800000,2021-12-21 00:00:00,PAS/USD,0.0020205,0.0024,0.0020205,0.0021257,1441.7987055176236,678270.07833543
1639958400000,2021-12-20 00:00:00,PAS/USD,0.0020024,0.0020024,0.0020023,0.0020023,105.78142229548432,52829.956697539994
1639872000000,2021-12-19 00:00:00,PAS/USD,0.002009,0.0020205,0.002009,0.0020205,1348.6600424666042,667488.26650166
1639785600000,2021-12-18 00:00:00,PAS/USD,0.002009,0.002009,0.0020023,0.002009,1356.2432744989922,675083.76032802
1639699200000,2021-12-17 00:00:00,PAS/USD,0.0020107,0.0020107,0.002009,0.002009,575.58010098996,286500.79690889
1639612800000,2021-12-16 00:00:00,PAS/USD,0.0020107,0.0020107,0.0020107,0.0020107,324.635553965776,161453.99809309
1639526400000,2021-12-15 00:00:00,PAS/USD,0.0020205,0.0020205,0.0020205,0.0020205,161.52852804944348,79944.82952212001
1639440000000,2021-12-14 00:00:00,PAS/USD,0.0019928,0.0020205,0.0019858,0.0020205,1567.8320994273267,775962.4347574
1639353600000,2021-12-13 00:00:00,PAS/USD,0.002001,0.0020171,0.0019928,0.0019928,976.8965302575621,490213.03204414
1639267200000,2021-12-12 00:00:00,PAS/USD,0.002263,0.0026094,0.002001,0.00201,2216.0343616070395,1102504.65751594
1639180800000,2021-12-11 00:00:00,PAS/USD,0.0021405,0.0025,0.0020789,0.0022,2040.0738359239922,927306.28905636
1639094400000,2021-12-10 00:00:00,PAS/USD,0.0019673,0.0022729,0.0019394,0.0019602,1351.7137097093366,689579.48663878
1639008000000,2021-12-09 00:00:00,PAS/USD,0.0019101,0.002,0.001902,0.001902,413.136523603716,217211.631758
1638921600000,2021-12-08 00:00:00,PAS/USD,0.00172,0.0020402,0.0016672,0.0017011,1433.7863652929896,842858.36534771
1638835200000,2021-12-07 00:00:00,PAS/USD,0.0017129,0.0018281,0.00171,0.00172,169.30111747130718,98430.88225076
1638748800000,2021-12-06 00:00:00,PAS/USD,0.0017,0.0017661,0.0016999,0.001744,838.5598694787358,480825.61323322
1638662400000,2021-12-05 00:00:00,PAS/USD,0.0017418,0.0028671,0.0016022,0.001625,3586.9334372310564,2207343.65368065
1638576000000,2021-12-04 00:00:00,PAS/USD,0.001702,0.0019447,0.0016,0.0018099,3758.491352116661,2076629.29008048
1638489600000,2021-12-03 00:00:00,PAS/USD,0.0017408,0.0017408,0.001702,0.001702,50.553655,29702.5
1638403200000,2021-12-02 00:00:00,PAS/USD,0.0018103,0.00182,0.0016087,0.0017362,1877.2486538019157,1081239.86510881
1638316800000,2021-12-01 00:00:00,PAS/USD,0.0019328,0.0019328,0.0018103,0.0018103,77.665006543883,42901.73261
1638230400000,2021-11-30 00:00:00,PAS/USD,0.0018603,0.0019349,0.0018111,0.0019,267.26391418639605,140665.21799284001
1638144000000,2021-11-29 00:00:00,PAS/USD,0.002,0.0020496,0.0018528,0.0018528,351.4889427754318,189706.89916636
1638057600000,2021-11-28 00:00:00,PAS/USD,0.00197,0.0020666,0.00193,0.00193,181.91997739871002,94259.055647
1637971200000,2021-11-27 00:00:00,PAS/USD,0.0018483,0.0020666,0.0018483,0.00198,334.1797516723842,168777.65235979
1637884800000,2021-11-26 00:00:00,PAS/USD,0.0018762,0.0020808,0.0015789,0.0018483,1402.1140841681663,758596.59371756
