https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RRT
1640995200000,2022-01-01 00:00:00,RRT/USD,0.13799,0.138,0.12913,0.13542,6333.199726479189,46767.09294402
1640908800000,2021-12-31 00:00:00,RRT/USD,0.13013,0.13799,0.12669,0.13799,5291.579210230239,38347.55569411
1640822400000,2021-12-30 00:00:00,RRT/USD,0.11924,0.13031,0.11914,0.12785,8812.364299027598,68927.37034828
1640736000000,2021-12-29 00:00:00,RRT/USD,0.10988,0.12088,0.10758,0.12073,10120.510396393325,83827.63518921
1640649600000,2021-12-28 00:00:00,RRT/USD,0.10745,0.10999,0.10708,0.10995,1639.5064925116772,14911.38237846
1640563200000,2021-12-27 00:00:00,RRT/USD,0.10805,0.10999,0.10692,0.10959,1550.8852896913818,14151.70444102
1640476800000,2021-12-26 00:00:00,RRT/USD,0.10995,0.11,0.10791,0.10999,1780.6788537534123,16189.46134879
1640390400000,2021-12-25 00:00:00,RRT/USD,0.10883,0.10999,0.1079,0.10829,1490.5395871278822,13764.33269118
1640304000000,2021-12-24 00:00:00,RRT/USD,0.10864,0.10883,0.10668,0.10791,3995.651266977002,37027.62734665
1640217600000,2021-12-23 00:00:00,RRT/USD,0.10499,0.10865,0.1049,0.10864,1140.93024838464,10501.935276
1640131200000,2021-12-22 00:00:00,RRT/USD,0.10499,0.105,0.10451,0.10499,377.52443191011497,3595.8132385
1640044800000,2021-12-21 00:00:00,RRT/USD,0.10498,0.10499,0.1045,0.10499,1433.8361542720781,13656.88307717
1639958400000,2021-12-20 00:00:00,RRT/USD,0.097889,0.10499,0.090297,0.10499,13721.476040474763,130693.17116368
1639872000000,2021-12-19 00:00:00,RRT/USD,0.095999,0.097889,0.09599,0.097889,1129.6433873604242,11540.04420681
1639785600000,2021-12-18 00:00:00,RRT/USD,0.094993,0.096,0.09323,0.096,2053.62664018368,21391.94416858
1639699200000,2021-12-17 00:00:00,RRT/USD,0.094992,0.094994,0.093251,0.093419,915.6092941713483,9801.10356749
1639612800000,2021-12-16 00:00:00,RRT/USD,0.094993,0.094994,0.093222,0.093395,2906.995330485205,31125.81327143
1639526400000,2021-12-15 00:00:00,RRT/USD,0.0907,0.094993,0.088045,0.093155,5578.988263977517,59889.30560869
1639440000000,2021-12-14 00:00:00,RRT/USD,0.089881,0.090999,0.088216,0.0907,3660.025193852134,40353.08923762
1639353600000,2021-12-13 00:00:00,RRT/USD,0.088249,0.089998,0.088022,0.089882,1212.8021131185844,13493.27021115
1639267200000,2021-12-12 00:00:00,RRT/USD,0.088268,0.089969,0.088092,0.088215,1252.4211603809676,14197.37187985
1639180800000,2021-12-11 00:00:00,RRT/USD,0.088219,0.089999,0.088162,0.08997,1833.1581200497637,20375.21529454
1639094400000,2021-12-10 00:00:00,RRT/USD,0.088219,0.09,0.086004,0.088219,3020.9906149146987,34244.21740118
1639008000000,2021-12-09 00:00:00,RRT/USD,0.089499,0.08999,0.085841,0.088219,1914.182967482906,21698.08054368
1638921600000,2021-12-08 00:00:00,RRT/USD,0.089499,0.0895,0.086475,0.089499,3564.7548951448125,39830.10866205
1638835200000,2021-12-07 00:00:00,RRT/USD,0.088202,0.09,0.087869,0.089499,2160.208880641342,24136.6817578
1638748800000,2021-12-06 00:00:00,RRT/USD,0.084878,0.09,0.082282,0.08834,5864.502395316229,66385.58292185
1638662400000,2021-12-05 00:00:00,RRT/USD,0.084817,0.084999,0.082105,0.084878,2184.6981191370905,25739.27424229
1638576000000,2021-12-04 00:00:00,RRT/USD,0.086522,0.088166,0.081546,0.083345,12370.431821400138,148424.40244046
