https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IQX
1647388800000,2022-03-16 00:00:00,IQX/USD,0.008741,0.0088536,0.0085232,0.0088008,25160.43654309919,2858880.61802327
1647302400000,2022-03-15 00:00:00,IQX/USD,0.0087044,0.0091151,0.0085278,0.0088034,36010.14120626857,4090481.08756487
1647216000000,2022-03-14 00:00:00,IQX/USD,0.0082561,0.0097,0.0081232,0.0087081,76240.37236207284,8755109.88184252
1647129600000,2022-03-13 00:00:00,IQX/USD,0.0084747,0.0084884,0.0082023,0.0082794,15155.460587769137,1830502.28129685
1647043200000,2022-03-12 00:00:00,IQX/USD,0.0084279,0.0086246,0.0083424,0.0085007,10152.114233994234,1194268.02898517
1646956800000,2022-03-11 00:00:00,IQX/USD,0.0085886,0.0086419,0.0083144,0.0084421,10969.865356300084,1299423.76379101
1646870400000,2022-03-10 00:00:00,IQX/USD,0.0089938,0.0090074,0.008418,0.008593,18172.856568729003,2114844.24167683
1646784000000,2022-03-09 00:00:00,IQX/USD,0.0088726,0.0090795,0.0087749,0.0089561,19126.882870980106,2135626.31848462
1646697600000,2022-03-08 00:00:00,IQX/USD,0.008666,0.0093158,0.0085482,0.0087651,17216.622762579664,1964224.34000521
1646611200000,2022-03-07 00:00:00,IQX/USD,0.0086485,0.010571,0.0082443,0.008681,16803.349945310063,1935646.80858312
1646524800000,2022-03-06 00:00:00,IQX/USD,0.0084203,0.008777,0.0082206,0.008617,6295.0248450408535,730535.55124067
1646438400000,2022-03-05 00:00:00,IQX/USD,0.0082467,0.0086047,0.0082141,0.008415,6501.099139011126,772560.80083317
1646352000000,2022-03-04 00:00:00,IQX/USD,0.0087953,0.0088921,0.0081847,0.0082784,4815.6772860152,581715.94583678
1646265600000,2022-03-03 00:00:00,IQX/USD,0.0091974,0.0093362,0.0086985,0.0088342,2275.9892357950866,257633.88148277
1646179200000,2022-03-02 00:00:00,IQX/USD,0.0092439,0.0095114,0.0089783,0.0092393,7127.097760142346,771389.3650105901
