https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume STJ
1645401600000,2022-02-21 00:00:00,STJ/USD,0.97891,1.0264,0.88456,0.89189,13414.381951438696,15040.3995464
1645315200000,2022-02-20 00:00:00,STJ/USD,1.0246,1.0313,0.96621,0.9769,5550.585161475162,5681.83556298
1645228800000,2022-02-19 00:00:00,STJ/USD,1.0392,1.0573,0.99341,1.0269,6659.834581457756,6485.37791553
1645142400000,2022-02-18 00:00:00,STJ/USD,1.0681,1.1042,1.0265,1.0415,8905.72362980039,8550.86282266
1645056000000,2022-02-17 00:00:00,STJ/USD,1.1944,1.2069,1.0662,1.0741,14187.43088953352,13208.66854998
1644969600000,2022-02-16 00:00:00,STJ/USD,1.2235,1.2249,1.1582,1.1929,7462.671191408412,6255.90677459
1644883200000,2022-02-15 00:00:00,STJ/USD,1.1328,1.2251,1.1306,1.2251,11098.634323451639,9059.37011138
1644796800000,2022-02-14 00:00:00,STJ/USD,1.137,1.1519,1.0912,1.1318,4363.324288781518,3855.20788901
1644710400000,2022-02-13 00:00:00,STJ/USD,1.1493,1.1727,1.1047,1.1399,4560.706478268788,4000.97068012
1644624000000,2022-02-12 00:00:00,STJ/USD,1.1599,1.1755,1.1174,1.1527,3740.0157666565483,3244.56993724
1644537600000,2022-02-11 00:00:00,STJ/USD,1.2671,1.2861,1.1446,1.1626,9985.827874175522,8589.22060397
1644451200000,2022-02-10 00:00:00,STJ/USD,1.3554,1.3595,1.2584,1.265,8494.6995509596,6715.17751064
1644364800000,2022-02-09 00:00:00,STJ/USD,1.3443,1.391,1.3181,1.3555,4086.7098682674296,3014.90953026
1644278400000,2022-02-08 00:00:00,STJ/USD,1.4021,1.4154,1.2856,1.3424,20365.654516020462,15171.07755961
1644192000000,2022-02-07 00:00:00,STJ/USD,1.3474,1.3989,1.3103,1.3948,26437.407419305433,18954.26399434
1644105600000,2022-02-06 00:00:00,STJ/USD,1.3191,1.3579,1.2724,1.3479,8733.412741470802,6479.27349319
1644019200000,2022-02-05 00:00:00,STJ/USD,1.2443,1.3532,1.2415,1.3221,22583.47971683946,17081.52160717
1643932800000,2022-02-04 00:00:00,STJ/USD,1.1545,1.2481,1.1503,1.246,29569.238168937743,23731.330793690002
1643846400000,2022-02-03 00:00:00,STJ/USD,1.1157,1.1566,1.1054,1.1566,16306.392657017568,14098.55841001
1643760000000,2022-02-02 00:00:00,STJ/USD,1.1533,1.2153,1.1081,1.1128,62233.4153292044,55925.06769339
1643673600000,2022-02-01 00:00:00,STJ/USD,1.1585,1.1714,1.1309,1.1494,10312.247223248012,8971.85246498
1643587200000,2022-01-31 00:00:00,STJ/USD,1.1624,1.1672,1.0876,1.1651,4297.769410367635,3688.75582385
1643500800000,2022-01-30 00:00:00,STJ/USD,1.1527,1.1799,1.0982,1.1683,4496.267113751216,3848.55526299
1643414400000,2022-01-29 00:00:00,STJ/USD,1.1198,1.1631,1.1175,1.152,3511.69239585024,3048.34409362
1643328000000,2022-01-28 00:00:00,STJ/USD,1.0683,1.1304,1.0465,1.1258,7598.882937723999,6749.76278
1643241600000,2022-01-27 00:00:00,STJ/USD,1.0679,1.1267,1.0079,1.0749,22825.190513962873,21234.71068375
1643155200000,2022-01-26 00:00:00,STJ/USD,1.014,1.1383,1.0024,1.0653,15651.400078274366,14692.01171339
1643068800000,2022-01-25 00:00:00,STJ/USD,1.0168,1.0266,0.9745,1.0122,12285.82313189998,12137.74267131
1642982400000,2022-01-24 00:00:00,STJ/USD,1.0939,1.0986,0.92697,1.0224,66445.3119902829,64989.54615638
1642896000000,2022-01-23 00:00:00,STJ/USD,1.0379,1.0951,1.024,1.0949,28009.632437419885,25581.90924963
