https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CHZ
1643241600000,2022-01-27 00:00:00,CHZ/USD,0.17425,0.18011,0.16492,0.17529,53044.516603808996,302610.0553586
1643155200000,2022-01-26 00:00:00,CHZ/USD,0.17204,0.18716,0.16818,0.17321,79998.25644062134,461857.03158375
1643068800000,2022-01-25 00:00:00,CHZ/USD,0.1751,0.17904,0.1685,0.16976,66336.54440896468,390766.63765884
1642982400000,2022-01-24 00:00:00,CHZ/USD,0.18506,0.18506,0.15871,0.17527,42589.767918774625,242995.19551991
1642896000000,2022-01-23 00:00:00,CHZ/USD,0.18063,0.191,0.17462,0.18331,23730.139681812332,129453.60145007
1642809600000,2022-01-22 00:00:00,CHZ/USD,0.19924,0.20054,0.16336,0.17533,134346.69840413277,766250.48995684
1642723200000,2022-01-21 00:00:00,CHZ/USD,0.23309,0.239,0.19664,0.19708,78167.49638037426,396628.25441635
1642636800000,2022-01-20 00:00:00,CHZ/USD,0.2487,0.25801,0.23473,0.23608,42284.33307780971,179110.18755426002
1642550400000,2022-01-19 00:00:00,CHZ/USD,0.2589,0.26028,0.24252,0.24688,37830.086089481505,153232.68830801
1642464000000,2022-01-18 00:00:00,CHZ/USD,0.25772,0.2638,0.24771,0.2611,59133.85790621412,226479.73154429
1642377600000,2022-01-17 00:00:00,CHZ/USD,0.2679,0.2679,0.25313,0.25353,25798.021204837034,101755.29998358
1642291200000,2022-01-16 00:00:00,CHZ/USD,0.26785,0.27638,0.26585,0.27039,48380.72629785264,178929.4215683
1642204800000,2022-01-15 00:00:00,CHZ/USD,0.2654,0.27067,0.26254,0.26945,19028.133212787343,70618.41979138
1642118400000,2022-01-14 00:00:00,CHZ/USD,0.26345,0.27092,0.25753,0.2672,20823.822305708254,77933.46671298
1642032000000,2022-01-13 00:00:00,CHZ/USD,0.27799,0.2792,0.26327,0.26566,51140.34172957546,192502.9802363
1641945600000,2022-01-12 00:00:00,CHZ/USD,0.265,0.27824,0.26463,0.27727,37799.68809770539,136328.08489092
1641859200000,2022-01-11 00:00:00,CHZ/USD,0.2501,0.26436,0.24666,0.26358,35525.70420263975,134781.48646574
1641772800000,2022-01-10 00:00:00,CHZ/USD,0.26206,0.26887,0.237,0.25102,44776.7966611569,178379.39869794
1641686400000,2022-01-09 00:00:00,CHZ/USD,0.25361,0.26863,0.25349,0.26145,46825.742440212314,179100.18145042
1641600000000,2022-01-08 00:00:00,CHZ/USD,0.26387,0.27178,0.24318,0.25719,29605.28295385043,115110.55233038
1641513600000,2022-01-07 00:00:00,CHZ/USD,0.27951,0.27973,0.26086,0.26113,95166.27967608889,364440.23925282
1641427200000,2022-01-06 00:00:00,CHZ/USD,0.27805,0.28282,0.27024,0.28081,65548.11947995157,233425.16106959
1641340800000,2022-01-05 00:00:00,CHZ/USD,0.30477,0.32278,0.26348,0.2798,111630.48020105776,398965.26161922
1641254400000,2022-01-04 00:00:00,CHZ/USD,0.29929,0.31622,0.29316,0.30374,56893.10828042559,187308.58062957
1641168000000,2022-01-03 00:00:00,CHZ/USD,0.3097,0.31869,0.29537,0.30026,40037.65098989953,133343.27246353
1641081600000,2022-01-02 00:00:00,CHZ/USD,0.29617,0.31844,0.29617,0.31117,60860.14579161457,195584.87576442
1640995200000,2022-01-01 00:00:00,CHZ/USD,0.28414,0.29448,0.28393,0.29323,26927.241154995256,91829.76214915
1640908800000,2021-12-31 00:00:00,CHZ/USD,0.28646,0.29522,0.2767,0.2843,32169.639618373312,113153.85022291
1640822400000,2021-12-30 00:00:00,CHZ/USD,0.28455,0.2954,0.28,0.28998,62592.4259191806,215850.83771012
1640736000000,2021-12-29 00:00:00,CHZ/USD,0.30488,0.30649,0.28556,0.28556,105051.89878513152,367880.30111056
