https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BSV
1640736000000,2021-12-29 00:00:00,BSV/USD,121.69,128.62,120.4,121.56,694772.9695055832,5715.47358922
1640649600000,2021-12-28 00:00:00,BSV/USD,127.06,127.06,120.77,121.76,111883.9336770272,918.88907422
1640563200000,2021-12-27 00:00:00,BSV/USD,127.94,132.98,127.0,127.26,100703.3651647128,791.31985828
1640476800000,2021-12-26 00:00:00,BSV/USD,128.33,128.58,125.78,127.8,53749.01757789,420.57134255
1640390400000,2021-12-25 00:00:00,BSV/USD,129.88,130.95,127.2,128.32,68576.0041540672,534.41399746
1640304000000,2021-12-24 00:00:00,BSV/USD,129.61,132.64,126.87,129.46,394963.2953591242,3050.85196477
1640217600000,2021-12-23 00:00:00,BSV/USD,124.07,129.55,121.87,129.55,262876.34877295303,2029.14973966
1640131200000,2021-12-22 00:00:00,BSV/USD,124.6,126.23,122.94,123.86,137743.377031744,1112.0892704
1640044800000,2021-12-21 00:00:00,BSV/USD,121.74,125.49,121.74,124.6,282198.524378582,2264.83566917
1639958400000,2021-12-20 00:00:00,BSV/USD,122.91,124.97,119.73,121.74,208019.69840646238,1708.72103176
1639872000000,2021-12-19 00:00:00,BSV/USD,126.91,127.7,122.77,123.34,115339.220694152,935.1323228
1639785600000,2021-12-18 00:00:00,BSV/USD,124.85,127.75,121.8,127.06,439743.03310279164,3460.90849286
1639699200000,2021-12-17 00:00:00,BSV/USD,121.99,126.86,117.68,124.85,687730.448837223,5508.45373518
1639612800000,2021-12-16 00:00:00,BSV/USD,127.62,129.24,121.77,121.77,245895.4807099758,2019.34368654
1639526400000,2021-12-15 00:00:00,BSV/USD,125.9,128.65,120.05,127.58,560619.7713871829,4394.26063166
1639440000000,2021-12-14 00:00:00,BSV/USD,125.3,129.27,121.37,125.9,494041.981406804,3924.08245756
1639353600000,2021-12-13 00:00:00,BSV/USD,133.5,133.65,120.72,125.33,997189.391172483,7956.5099431300005
1639267200000,2021-12-12 00:00:00,BSV/USD,136.71,137.22,130.75,133.79,432731.1929244158,3234.40610602
1639180800000,2021-12-11 00:00:00,BSV/USD,130.81,142.47,127.0,136.68,1092036.1419365653,7989.72886989
1639094400000,2021-12-10 00:00:00,BSV/USD,134.1,140.65,128.63,130.78,1227832.5535938854,9388.53458934
1639008000000,2021-12-09 00:00:00,BSV/USD,149.28,151.15,129.43,134.09,1961838.6530144247,14630.76033272
1638921600000,2021-12-08 00:00:00,BSV/USD,162.84,163.25,144.8,149.21,1852531.0274632112,12415.59565353
