https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RBT
1644278400000,2022-02-08 00:00:00,RBT/USD,44066,45528,42606,43848,12228.5341332,0.27888465
1644192000000,2022-02-07 00:00:00,RBT/USD,42586,44622,41560,44067,7186.62395001,0.16308403
1644105600000,2022-02-06 00:00:00,RBT/USD,41202,42716,41081,42690,8922.261228,0.2090012
1644019200000,2022-02-05 00:00:00,RBT/USD,41437,42134,40872,41613,7235.04049983,0.17386491
1643932800000,2022-02-04 00:00:00,RBT/USD,37517,41850,36905,41436,15040.89839088,0.36299108
1643846400000,2022-02-03 00:00:00,RBT/USD,36771,37518,36157,37518,9735.7634244,0.2594958
1643760000000,2022-02-02 00:00:00,RBT/USD,38645,39026,36575,36771,10317.82309425,0.28059675
1643673600000,2022-02-01 00:00:00,RBT/USD,38186,39453,37757,38644,8103.37010896,0.20969284
1643587200000,2022-01-31 00:00:00,RBT/USD,37766,38824,36540,38285,8174.7372434,0.21352324
1643500800000,2022-01-30 00:00:00,RBT/USD,38000,38489,37280,38144,2184.11437824,0.05725971
1643414400000,2022-01-29 00:00:00,RBT/USD,37874,38860,37244,38000,2250.15366,0.05921457
1643328000000,2022-01-28 00:00:00,RBT/USD,36978,38132,36023,37598,6031.3038489,0.16041555
1643241600000,2022-01-27 00:00:00,RBT/USD,36961,37301,34966,36978,30996.077444939998,0.83823023
1643155200000,2022-01-26 00:00:00,RBT/USD,37137,39069,36169,36690,5882.6662008,0.16033432
1643068800000,2022-01-25 00:00:00,RBT/USD,36566,37595,35593,36772,20820.64690872,0.5662092599999999
1642982400000,2022-01-24 00:00:00,RBT/USD,36161,37351,32936,36566,69455.0583342,1.8994437
1642896000000,2022-01-23 00:00:00,RBT/USD,35236,36683,34612,36528,22097.46821856,0.60494602
1642809600000,2022-01-22 00:00:00,RBT/USD,36315,36900,34164,35236,51689.281067200005,1.4669452
1642723200000,2022-01-21 00:00:00,RBT/USD,40495,41272,35473,36315,47558.210429700004,1.30960238
1642636800000,2022-01-20 00:00:00,RBT/USD,41680,43704,40395,40877,36948.25348466,0.90388858
1642550400000,2022-01-19 00:00:00,RBT/USD,42531,42710,41077,41680,16740.8207656,0.40165117
1642464000000,2022-01-18 00:00:00,RBT/USD,42053,42844,41120,42649,1070.50909205,0.02510045
1642377600000,2022-01-17 00:00:00,RBT/USD,42930,43378,41437,42053,1102.35715656,0.02621352
1642291200000,2022-01-16 00:00:00,RBT/USD,42967,43609,42703,42930,34550.1717543,0.80480251
1642204800000,2022-01-15 00:00:00,RBT/USD,43033,43996,42598,43371,17916.18841053,0.41309143000000004
1642118400000,2022-01-14 00:00:00,RBT/USD,42343,43589,41668,43262,9756.63529494,0.22552437
1642032000000,2022-01-13 00:00:00,RBT/USD,44130,44532,42224,42450,13469.238547500001,0.31729655
1641945600000,2022-01-12 00:00:00,RBT/USD,42647,44240,42442,44130,4134.3450867,0.09368559
